comp_full,comp_partial,comp_none,bespoke_full,bespoke_none,bespoke_cost,free_cost,free_comp
1.0,1.4444444444444444,5.0,1,5,1.099513888888889,1.015,0.9253125
1.0,1.8888888888888888,5.0,1,5,1.1161805555555555,1.019375,0.92671875
1.4444444444444444,1.8888888888888888,5.0,1,5,1.092569444444444,1.182083333333333,0.368125
1.0,2.333333333333333,5.0,1,5,1.0835416666666666,1.015625,0.93328125
1.4444444444444444,2.333333333333333,5.0,1,5,1.0910416666666665,1.191527777777777,0.40109375
1.8888888888888888,2.333333333333333,5.0,1,5,1.0916666666666663,1.3753472222222214,0.4059375
1.0,2.7777777777777777,5.0,1,5,1.0939583333333331,1.019375,0.92265625
1.4444444444444444,2.7777777777777777,5.0,1,5,1.0903472222222221,1.1971527777777777,0.40671875
1.8888888888888888,2.7777777777777777,5.0,1,5,1.0929166666666665,1.372430555555555,0.39328125
2.333333333333333,2.7777777777777777,5.0,1,5,1.0948611111111106,1.5538888888888882,0.403125
1.0,3.2222222222222223,5.0,1,5,1.1055555555555556,1.015625,0.93046875
1.4444444444444444,3.2222222222222223,5.0,1,5,1.1223611111111114,1.204791666666667,0.38765625
1.8888888888888888,3.2222222222222223,5.0,1,5,1.0913194444444447,1.343402777777777,0.3571875
2.333333333333333,3.2222222222222223,5.0,1,5,1.1051388888888891,1.5712499999999998,0.41125
2.7777777777777777,3.2222222222222223,5.0,1,5,1.1308333333333334,1.7644444444444431,0.419375
1.0,3.6666666666666665,5.0,1,5,1.1120833333333335,1.018125,0.92984375
1.4444444444444444,3.6666666666666665,5.0,1,5,1.094375,1.1958333333333337,0.37140625
1.8888888888888888,3.6666666666666665,5.0,1,5,1.0845833333333335,1.389027777777777,0.4075
2.333333333333333,3.6666666666666665,5.0,1,5,1.1054166666666665,1.5702083333333334,0.41671875
2.7777777777777777,3.6666666666666665,5.0,1,5,1.0906944444444444,1.7159722222222211,0.39234375
3.2222222222222223,3.6666666666666665,5.0,1,5,1.0948611111111113,1.925625000000001,0.405
1.0,4.111111111111111,5.0,1,5,1.0906944444444446,1.018125,0.93390625
1.4444444444444444,4.111111111111111,5.0,1,5,1.1062500000000002,1.2069444444444437,0.3990625
1.8888888888888888,4.111111111111111,5.0,1,5,1.102638888888889,1.36736111111111,0.38765625
