pop,gen,cost,compositionality,agent
1,1,5.0,0.0,rational
1,2,1.4097222222222223,0.03125,rational
1,3,1.7291666666666665,0.125,rational
1,4,2.0972222222222223,0.28125,rational
1,5,2.0972222222222223,0.34375,rational
1,6,2.5138888888888893,0.46875,rational
1,7,2.3888888888888893,0.40625,rational
1,8,2.8472222222222228,0.53125,rational
1,9,2.583333333333334,0.46875,rational
1,10,2.5555555555555562,0.5,rational
1,11,3.38888888888889,0.6875,rational
1,12,2.7083333333333344,0.46875,rational
1,13,2.7777777777777786,0.4375,rational
1,14,2.3888888888888893,0.40625,rational
1,15,2.5972222222222228,0.46875,rational
1,16,2.1944444444444446,0.34375,rational
1,17,2.4722222222222228,0.46875,rational
1,18,2.6805555555555562,0.5,rational
1,19,2.2638888888888893,0.40625,rational
1,20,2.7083333333333344,0.46875,rational
1,21,2.875000000000001,0.5625,rational
1,22,2.6388888888888897,0.46875,rational
1,23,2.291666666666667,0.375,rational
1,24,2.847222222222223,0.59375,rational
1,25,3.0833333333333344,0.625,rational
1,26,2.972222222222223,0.59375,rational
1,27,2.569444444444445,0.5,rational
1,28,3.38888888888889,0.6875,rational
1,29,2.458333333333334,0.46875,rational
1,30,2.8055555555555562,0.5,rational
1,31,2.875000000000001,0.59375,rational
2,1,5.0,0.0,rational
2,2,1.4791666666666665,0.09375,rational
2,3,1.3888888888888888,0.125,rational
2,4,2.138888888888889,0.15625,rational
2,5,2.166666666666667,0.375,rational
2,6,1.9305555555555558,0.25,rational
2,7,2.708333333333334,0.5,rational
2,8,2.3611111111111116,0.4375,rational
2,9,2.972222222222223,0.59375,rational
2,10,3.250000000000001,0.5625,rational
2,11,1.9722222222222223,0.3125,rational
2,12,2.5555555555555567,0.5,rational
2,13,2.6527777777777786,0.53125,rational
2,14,2.8055555555555562,0.5,rational
2,15,3.041666666666668,0.65625,rational
2,16,3.3194444444444455,0.625,rational
2,17,2.3611111111111116,0.4375,rational
2,18,2.9166666666666674,0.53125,rational
2,19,2.7361111111111116,0.4375,rational
2,20,2.416666666666667,0.375,rational
2,21,2.5138888888888893,0.4375,rational
2,22,2.6111111111111116,0.4375,rational
2,23,1.9027777777777781,0.25,rational
2,24,2.194444444444445,0.375,rational
2,25,3.361111111111112,0.53125,rational
2,26,2.6805555555555562,0.5,rational
2,27,2.1250000000000004,0.28125,rational
2,28,2.4444444444444446,0.40625,rational
2,29,3.0694444444444455,0.625,rational
2,30,2.5555555555555562,0.5,rational
2,31,2.4166666666666674,0.375,rational
3,1,5.0,0.0,rational
3,2,2.388888888888889,0.125,rational
3,3,1.9722222222222223,0.3125,rational
3,4,2.3541666666666674,0.375,rational
3,5,3.166666666666668,0.65625,rational
3,6,2.777777777777779,0.53125,rational
3,7,2.7083333333333344,0.46875,rational
3,8,2.3333333333333335,0.375,rational
3,9,2.708333333333334,0.46875,rational
3,10,2.3194444444444446,0.34375,rational
3,11,3.680555555555557,0.75,rational
3,12,2.7083333333333344,0.46875,rational
3,13,2.458333333333334,0.46875,rational
3,14,2.958333333333334,0.53125,rational
3,15,2.972222222222223,0.59375,rational
3,16,3.041666666666668,0.65625,rational
3,17,3.458333333333335,0.75,rational
3,18,3.291666666666668,0.65625,rational
3,19,3.2083333333333344,0.625,rational
3,20,2.847222222222223,0.59375,rational
3,21,2.6111111111111116,0.46875,rational
3,22,2.847222222222223,0.59375,rational
3,23,3.2500000000000013,0.71875,rational
3,24,3.8194444444444464,0.90625,rational
3,25,3.9027777777777795,0.8125,rational
3,26,2.972222222222223,0.59375,rational
3,27,3.0138888888888897,0.5625,rational
3,28,2.972222222222223,0.59375,rational
3,29,2.3611111111111116,0.4375,rational
3,30,2.819444444444445,0.5,rational
3,31,2.9444444444444455,0.625,rational
4,1,5.0,0.0,rational
4,2,1.5347222222222223,0.03125,rational
4,3,1.5694444444444446,0.0625,rational
4,4,1.8680555555555558,0.125,rational
4,5,1.8333333333333335,0.25,rational
4,6,2.3055555555555562,0.40625,rational
4,7,2.4861111111111116,0.4375,rational
4,8,2.6527777777777786,0.4375,rational
4,9,2.2222222222222228,0.3125,rational
4,10,2.5277777777777786,0.46875,rational
4,11,3.13888888888889,0.6875,rational
4,12,2.972222222222223,0.59375,rational
4,13,2.6805555555555562,0.5,rational
4,14,2.583333333333334,0.46875,rational
4,15,2.3611111111111116,0.375,rational
4,16,2.6527777777777786,0.53125,rational
4,17,3.041666666666668,0.65625,rational
4,18,2.875000000000001,0.5625,rational
4,19,2.9027777777777786,0.53125,rational
4,20,2.972222222222223,0.59375,rational
4,21,2.9444444444444455,0.625,rational
4,22,3.6527777777777795,0.8125,rational
4,23,3.555555555555557,0.78125,rational
4,24,3.3194444444444455,0.625,rational
4,25,3.1805555555555562,0.5625,rational
4,26,2.847222222222223,0.59375,rational
4,27,2.5555555555555562,0.5,rational
4,28,3.041666666666668,0.65625,rational
4,29,3.291666666666668,0.65625,rational
4,30,2.875000000000001,0.5625,rational
4,31,3.041666666666668,0.65625,rational
5,1,5.0,0.0,rational
5,2,1.375,0.0,rational
5,3,1.6041666666666665,0.09375,rational
5,4,1.8194444444444444,0.09375,rational
5,5,2.111111111111111,0.25,rational
5,6,2.3333333333333335,0.3125,rational
5,7,1.7777777777777781,0.25,rational
5,8,2.055555555555556,0.28125,rational
5,9,2.583333333333334,0.46875,rational
5,10,2.166666666666667,0.375,rational
5,11,2.944444444444445,0.53125,rational
5,12,2.2638888888888893,0.40625,rational
5,13,2.3611111111111116,0.4375,rational
5,14,3.5555555555555567,0.5625,rational
5,15,2.8333333333333344,0.53125,rational
5,16,2.9027777777777786,0.53125,rational
5,17,2.444444444444445,0.4375,rational
5,18,2.875000000000001,0.5625,rational
5,19,2.972222222222223,0.59375,rational
5,20,2.6388888888888893,0.40625,rational
5,21,2.4861111111111116,0.4375,rational
5,22,2.583333333333334,0.46875,rational
5,23,2.7777777777777786,0.4375,rational
5,24,2.2638888888888897,0.40625,rational
5,25,2.3888888888888893,0.40625,rational
5,26,3.000000000000001,0.625,rational
5,27,3.51388888888889,0.6875,rational
5,28,2.750000000000001,0.5625,rational
5,29,3.541666666666668,0.65625,rational
5,30,2.416666666666667,0.375,rational
5,31,2.3611111111111116,0.4375,rational
6,1,5.0,0.0,rational
6,2,1.9444444444444446,0.0625,rational
6,3,1.3819444444444446,0.09375,rational
6,4,1.5277777777777777,0.15625,rational
6,5,2.5069444444444446,0.0625,rational
6,6,1.875,0.1875,rational
6,7,2.7916666666666674,0.5,rational
6,8,2.458333333333334,0.46875,rational
6,9,2.750000000000001,0.5625,rational
6,10,2.972222222222223,0.59375,rational
6,11,3.26388888888889,0.6875,rational
6,12,3.555555555555557,0.78125,rational
6,13,3.26388888888889,0.6875,rational
6,14,2.875000000000001,0.5625,rational
6,15,3.3611111111111125,0.71875,rational
6,16,3.38888888888889,0.6875,rational
6,17,2.972222222222223,0.59375,rational
6,18,2.8055555555555562,0.5,rational
6,19,3.041666666666668,0.65625,rational
6,20,3.291666666666668,0.65625,rational
6,21,3.1944444444444455,0.625,rational
6,22,2.583333333333334,0.46875,rational
6,23,2.958333333333334,0.53125,rational
6,24,2.4166666666666674,0.375,rational
6,25,2.319444444444445,0.34375,rational
6,26,2.416666666666667,0.4375,rational
6,27,3.13888888888889,0.6875,rational
6,28,3.097222222222223,0.59375,rational
6,29,3.0694444444444455,0.625,rational
6,30,2.972222222222223,0.59375,rational
6,31,2.6805555555555562,0.5,rational
7,1,5.0,0.0,rational
7,2,2.4097222222222223,0.03125,rational
7,3,1.5694444444444446,0.0625,rational
7,4,1.3819444444444444,0.09375,rational
7,5,1.4444444444444444,0.125,rational
7,6,1.8055555555555558,0.09375,rational
7,7,2.5763888888888893,0.34375,rational
7,8,2.3472222222222228,0.40625,rational
7,9,2.7361111111111116,0.46875,rational
7,10,2.3888888888888897,0.4375,rational
7,11,2.3750000000000004,0.4375,rational
7,12,1.9027777777777781,0.25,rational
7,13,2.520833333333334,0.375,rational
7,14,2.3888888888888893,0.4375,rational
7,15,2.2638888888888893,0.40625,rational
7,16,2.6805555555555562,0.5,rational
7,17,2.875000000000001,0.5625,rational
7,18,3.2361111111111125,0.65625,rational
7,19,3.26388888888889,0.6875,rational
7,20,3.166666666666668,0.65625,rational
7,21,3.166666666666668,0.65625,rational
7,22,2.9166666666666674,0.53125,rational
7,23,2.9027777777777786,0.53125,rational
7,24,2.458333333333334,0.46875,rational
7,25,2.7638888888888897,0.5625,rational
7,26,3.0277777777777786,0.59375,rational
7,27,2.4861111111111116,0.4375,rational
7,28,2.0972222222222228,0.3125,rational
