pop,gen,cost,compositionality,agent
1,1,5.0,0.0,rational
1,2,1.125,0.0,rational
1,3,1.125,0.0,rational
1,4,1.875,0.0,rational
1,5,1.875,0.0,rational
1,6,1.0,0.0,rational
1,7,1.25,0.0,rational
1,8,1.375,0.0,rational
1,9,1.5,0.0,rational
1,10,1.0,0.0,rational
1,11,1.1944444444444444,0.03125,rational
1,12,1.7222222222222223,0.125,rational
1,13,1.25,0.0,rational
1,14,1.625,0.0,rational
1,15,1.375,0.0,rational
1,16,2.375,0.0,rational
1,17,1.625,0.0,rational
1,18,2.1944444444444446,0.03125,rational
1,19,1.625,0.0,rational
1,20,1.75,0.0,rational
1,21,1.125,0.0,rational
1,22,1.625,0.0,rational
1,23,1.5,0.0,rational
1,24,2.0,0.0,rational
1,25,1.6388888888888888,0.0625,rational
1,26,1.5555555555555556,0.0625,rational
1,27,1.375,0.03125,rational
1,28,2.013888888888889,0.09375,rational
1,29,1.8333333333333335,0.15625,rational
1,30,2.152777777777778,0.25,rational
1,31,1.8055555555555558,0.15625,rational
1,32,1.5694444444444446,0.125,rational
1,33,1.6666666666666667,0.1875,rational
1,34,2.0972222222222223,0.1875,rational
1,35,1.3611111111111112,0.09375,rational
1,36,1.777777777777778,0.21875,rational
1,37,2.236111111111111,0.25,rational
1,38,1.888888888888889,0.25,rational
1,39,2.7500000000000004,0.40625,rational
1,40,2.4444444444444446,0.40625,rational
1,41,3.166666666666667,0.53125,rational
1,42,2.4444444444444446,0.40625,rational
1,43,3.1527777777777786,0.53125,rational
1,44,3.1388888888888893,0.59375,rational
1,45,3.3472222222222228,0.65625,rational
1,46,3.333333333333334,0.65625,rational
1,47,3.7777777777777786,0.78125,rational
1,48,3.7777777777777786,0.78125,rational
1,49,4.111111111111112,0.875,rational
1,50,4.000000000000001,0.84375,rational
1,51,4.111111111111112,0.875,rational
1,52,4.000000000000001,0.84375,rational
1,53,4.25,0.84375,rational
1,54,4.111111111111112,0.875,rational
1,55,4.111111111111112,0.875,rational
1,56,4.111111111111112,0.875,rational
1,57,4.569444444444444,0.96875,rational
1,58,4.444444444444444,0.96875,rational
1,59,4.444444444444444,0.96875,rational
1,60,4.444444444444444,0.96875,rational
1,61,4.222222222222222,0.90625,rational
1,62,4.333333333333333,0.9375,rational
1,63,4.444444444444444,0.96875,rational
1,64,4.458333333333333,0.9375,rational
1,65,3.6666666666666674,0.75,rational
1,66,4.000000000000001,0.84375,rational
1,67,4.000000000000001,0.84375,rational
1,68,4.333333333333333,0.9375,rational
1,69,4.222222222222222,0.90625,rational
1,70,4.111111111111112,0.875,rational
1,71,4.333333333333333,0.9375,rational
1,72,4.000000000000001,0.84375,rational
1,73,4.222222222222222,0.90625,rational
1,74,4.444444444444444,0.96875,rational
1,75,4.333333333333333,0.9375,rational
1,76,4.222222222222222,0.90625,rational
1,77,4.333333333333333,0.9375,rational
1,78,4.569444444444444,0.96875,rational
1,79,4.222222222222222,0.90625,rational
1,80,4.444444444444445,0.96875,rational
1,81,4.444444444444445,0.96875,rational
