bespoke,compositional,p_compositional
zilch,zilch,0.13513513491356624
exact,zilch,0.13513513491356624
zilch,partial,0.8648648650864338
exact,partial,0.13513513491356624
zilch,full,0.8648648650864338
exact,full,0.13513513491356624
zilch,exact,0.8648648650864338
exact,exact,0.13513513491356624
