S,D,gen,compositionality
3,2,3,9.754610574020402e-10
3,2,4,9.634183281221013e-10
3,2,5,9.515242745166082e-10
3,2,6,9.397770610833032e-10
3,2,7,9.281748749804484e-10
3,2,8,9.16715925747074e-10
3,2,9,9.053984450266683e-10
3,2,10,8.942206862942842e-10
3,2,11,8.83180924587013e-10
3,2,12,8.72277456237789e-10
3,2,13,8.615085986124695e-10
3,2,14,8.508726898501779e-10
3,2,15,8.403680886068459e-10
3,2,16,8.299931738019028e-10
3,2,17,8.197463443681347e-10
3,2,18,8.096260190045788e-10
3,2,19,7.99630635932518e-10
3,2,20,7.897586526544463e-10
3,2,21,7.800085457160474e-10
3,2,22,7.703788104710782e-10
3,2,23,7.608679608491858e-10
3,2,24,7.514745291265547e-10
3,2,25,7.421970656994267e-10
3,2,26,7.330341388603846e-10
3,2,27,7.239843345774133e-10
3,2,28,7.150462562756891e-10
3,2,29,7.062185246220441e-10
3,2,30,6.974997773121266e-10
3,2,31,6.888886688601529e-10
3,2,32,6.803838703912787e-10
3,2,33,6.719840694365239e-10
3,2,34,6.636879697302269e-10
3,2,35,6.554942910100101e-10
3,2,36,6.474017688192049e-10
3,2,37,6.394091543117204e-10
3,2,38,6.315152140593194e-10
3,2,39,6.23718729861275e-10
3,2,40,6.160184985563763e-10
3,2,41,6.084133318372558e-10
3,2,42,6.009020560670101e-10
3,2,43,5.934835120980794e-10
3,2,44,5.861565550933685e-10
3,2,45,5.789200543495779e-10
3,2,46,5.717728931227017e-10
3,2,47,5.647139684557054e-10
3,2,48,5.577421910083053e-10
3,2,49,5.508564848888671e-10
3,2,50,5.440557874883672e-10
3,2,51,5.37339049316412e-10
3,2,52,5.307052338392841e-10
3,2,53,5.241533173199757e-10
3,2,54,5.176822886602084e-10
3,2,55,5.112911492444026e-10
3,2,56,5.049789127855654e-10
3,2,57,4.987446051730867e-10
3,2,58,4.925872643224163e-10
3,2,59,4.865059400265876e-10
3,2,60,4.804996938095884e-10
3,2,61,4.745675987815276e-10
3,2,62,4.68708739495603e-10
3,2,63,4.6292221180682536e-10
3,2,64,4.572071227324879e-10
3,2,65,4.5156259031436265e-10
3,2,66,4.45987743482595e-10
3,2,67,4.4048172192128463e-10
