comp_full,comp_partial,comp_none,bespoke_full,bespoke_none,bespoke_cost,free_cost,free_comp
1.0,1.4444444444444444,5.0,1,5,1.6870833333333324,1.2059722222222222,0.8315625
1.0,1.8888888888888888,5.0,1,5,1.7106944444444434,1.165,0.83875
1.4444444444444444,1.8888888888888888,5.0,1,5,1.7834722222222212,1.4145833333333326,0.5525
1.0,2.333333333333333,5.0,1,5,1.7566666666666666,1.18375,0.82
1.4444444444444444,2.333333333333333,5.0,1,5,1.772777777777778,1.4018055555555557,0.5153125
1.8888888888888888,2.333333333333333,5.0,1,5,1.831388888888889,1.6404166666666662,0.543125
1.0,2.7777777777777777,5.0,1,5,1.7300000000000002,1.1777777777777778,0.8275
1.4444444444444444,2.7777777777777777,5.0,1,5,1.8197222222222211,1.4140277777777772,0.5146875
1.8888888888888888,2.7777777777777777,5.0,1,5,1.7991666666666668,1.6594444444444443,0.5475
2.333333333333333,2.7777777777777777,5.0,1,5,1.8491666666666668,1.8269444444444445,0.4990625
1.0,3.2222222222222223,5.0,1,5,1.7581944444444437,1.2208333333333332,0.8134375
1.4444444444444444,3.2222222222222223,5.0,1,5,1.774027777777778,1.3998611111111106,0.515
1.8888888888888888,3.2222222222222223,5.0,1,5,1.8118055555555557,1.6495833333333336,0.5178125
2.333333333333333,3.2222222222222223,5.0,1,5,1.9008333333333334,1.8659722222222224,0.535
2.7777777777777777,3.2222222222222223,5.0,1,5,1.8929166666666668,2.0515277777777774,0.516875
1.0,3.6666666666666665,5.0,1,5,1.8087500000000003,1.19625,0.82125
1.4444444444444444,3.6666666666666665,5.0,1,5,1.8608333333333333,1.4358333333333329,0.508125
1.8888888888888888,3.6666666666666665,5.0,1,5,1.8597222222222225,1.6579166666666665,0.525
2.333333333333333,3.6666666666666665,5.0,1,5,1.86125,1.9279166666666672,0.5434375
2.7777777777777777,3.6666666666666665,5.0,1,5,1.859027777777777,2.1326388888888896,0.531875
3.2222222222222223,3.6666666666666665,5.0,1,5,1.9601388888888887,2.355277777777778,0.5396875
1.0,4.111111111111111,5.0,1,5,1.8261111111111126,1.1775,0.8303125
1.4444444444444444,4.111111111111111,5.0,1,5,1.8299999999999996,1.4536111111111105,0.524375
1.8888888888888888,4.111111111111111,5.0,1,5,1.8609722222222225,1.6583333333333323,0.5321875
2.333333333333333,4.111111111111111,5.0,1,5,1.9127777777777784,1.9033333333333338,0.5371875
2.7777777777777777,4.111111111111111,5.0,1,5,1.9570833333333335,2.119583333333333,0.534375
3.2222222222222223,4.111111111111111,5.0,1,5,1.9262500000000005,2.354166666666667,0.52125
