S,D,p_r,p_0,indiv,bespoke,comp,indiv_end,bespoke_end,comp_end,is_fixed
5,3,0.0,1.0e-5,0.8847359999854095,0.11526289989793921,1.1001166516921932e-6,0.8847359999854092,0.11526289988820625,1.1001263849049686e-6,true
5,3,0.0,1.0e-5,0.0,0.0,1.0,0.7618560000000001,0.0,0.23814399999999988,false
5,3,0.0,1.0e-5,0.0,0.1,0.9,0.7832125440000003,0.011952064000000007,0.20483539199999995,false
5,3,0.0,1.0e-5,0.0,0.2,0.8,0.8029470720000002,0.023808512000000018,0.17324441599999996,false
5,3,0.0,1.0e-5,0.0,0.30000000000000004,0.7,0.8209121280000001,0.03556972800000002,0.14351814399999993,false
5,3,0.0,1.0e-5,0.0,0.4,0.6,0.8369602560000001,0.04723609600000003,0.11580364799999993,false
5,3,0.0,1.0e-5,0.0,0.5,0.5,0.8509440000000003,0.058808000000000055,0.09024799999999998,false
5,3,0.0,1.0e-5,0.0,0.6000000000000001,0.3999999999999999,0.8627159040000001,0.07028582400000005,0.06699827199999994,false
5,3,0.0,1.0e-5,0.0,0.7000000000000001,0.29999999999999993,0.872128512,0.08166995200000005,0.04620153599999996,false
5,3,0.0,1.0e-5,0.0,0.8,0.19999999999999996,0.8790343680000002,0.09296076800000005,0.02800486399999998,false
5,3,0.0,1.0e-5,0.0,0.9,0.09999999999999998,0.8832860160000002,0.10415865600000004,0.012555327999999992,false
5,3,0.0,1.0e-5,0.0,1.0,0.0,0.884736,0.11526400000000003,0.0,false
5,3,0.0,1.0e-5,0.1,0.0,0.9,0.7832123382987991,0.011951944958075222,0.2048357167431258,false
5,3,0.0,1.0e-5,0.1,0.1,0.8,0.8029468832562318,0.023808393912315248,0.1732447228314532,false
5,3,0.0,1.0e-5,0.1,0.2,0.7,0.8209119576882243,0.03556961086271529,0.1435184314490605,false
5,3,0.0,1.0e-5,0.1,0.30000000000000004,0.6,0.8369601055947768,0.04723597980927531,0.11580391459594787,false
5,3,0.0,1.0e-5,0.1,0.4,0.5,0.8509438709758894,0.05880788475199533,0.09024824427211524,false
5,3,0.0,1.0e-5,0.1,0.5,0.4,0.862715797831562,0.07028570969087534,0.06699849247756261,false
5,3,0.0,1.0e-5,0.1,0.6000000000000001,0.29999999999999993,0.872128430161795,0.0816698386259154,0.04620173121228996,false
5,3,0.0,1.0e-5,0.1,0.7000000000000001,0.19999999999999996,0.8790343119665875,0.0929606555571154,0.028005032476297338,false
5,3,0.0,1.0e-5,0.1,0.8,0.09999999999999998,0.8832859872459402,0.10415854448447544,0.012555468269584704,false
5,3,0.0,1.0e-5,0.1,0.9,0.0,0.8847359999998528,0.11526388940799544,1.1059215206397538e-7,false
5,3,0.0,1.0e-5,0.2,0.0,0.8,0.8029466945122864,0.02380827582462098,0.17324502966309288,false
5,3,0.0,1.0e-5,0.2,0.1,0.7000000000000001,0.8209117873762568,0.03556949372542105,0.14351871889832232,false
5,3,0.0,1.0e-5,0.2,0.2,0.6000000000000001,0.8369599551893474,0.04723586361854114,0.11580418119211172,false
5,3,0.0,1.0e-5,0.2,0.30000000000000004,0.5,0.8509437419515579,0.05880776950398123,0.09024848854446113,false
5,3,0.0,1.0e-5,0.2,0.4,0.4,0.8627156916628881,0.0702855953817413,0.06699871295537056,false
5,3,0.0,1.0e-5,0.2,0.5,0.30000000000000004,0.872128348323339,0.0816697252518214,0.046201926424840015,false
5,3,0.0,1.0e-5,0.2,0.6000000000000001,0.19999999999999996,0.8790342559329093,0.09296054311422147,0.028005200952869406,false
5,3,0.0,1.0e-5,0.2,0.7000000000000001,0.09999999999999998,0.8832859584916,0.10415843296894153,0.012555608539458833,false
5,3,0.0,1.0e-5,0.2,0.8,0.0,0.8847359999994104,0.11526377881598164,2.21184608255804e-7,false
5,3,0.0,1.0e-5,0.30000000000000004,0.0,0.7,0.8209116170640974,0.035569376588117346,0.14351900634778522,false
5,3,0.0,1.0e-5,0.30000000000000004,0.1,0.6,0.8369598047837113,0.04723574742779753,0.11580444778849143,false
5,3,0.0,1.0e-5,0.30000000000000004,0.2,0.49999999999999994,0.850943612927005,0.05880765425595772,0.09024873281703762,false
5,3,0.0,1.0e-5,0.30000000000000004,0.30000000000000004,0.3999999999999999,0.8627155854939785,0.0702854810725979,0.06699893343342378,false
5,3,0.0,1.0e-5,0.30000000000000004,0.4,0.29999999999999993,0.8721282664846322,0.08166961187771805,0.04620212163764999,false
5,3,0.0,1.0e-5,0.30000000000000004,0.5,0.19999999999999996,0.8790341998989657,0.09296043067131822,0.02800536942971619,false
5,3,0.0,1.0e-5,0.30000000000000004,0.6000000000000001,0.09999999999999987,0.8832859297369794,0.1041583214533984,0.012555748809622366,false
5,3,0.0,1.0e-5,0.30000000000000004,0.7000000000000001,-1.1102230246251565e-16,0.884735999998673,0.1152636682239586,3.3177736856305965e-7,false
5,3,0.0,1.0e-5,0.4,0.0,0.6,0.8369596543778687,0.04723563123704446,0.11580471438508702,false
5,3,0.0,1.0e-5,0.4,0.1,0.5,0.8509434839022307,0.05880753900792477,0.0902489770898447,false
5,3,0.0,1.0e-5,0.4,0.2,0.39999999999999997,0.8627154793248326,0.07028536676344507,0.06699915391172233,false
5,3,0.0,1.0e-5,0.4,0.30000000000000004,0.29999999999999993,0.8721281846456747,0.08166949850360541,0.046202316850720015,false
5,3,0.0,1.0e-5,0.4,0.4,0.19999999999999996,0.8790341438647569,0.09296031822840571,0.028005537906837682,false
5,3,0.0,1.0e-5,0.4,0.5,0.09999999999999998,0.8832859009820788,0.10415820993784604,0.01255588908007536,false
5,3,0.0,1.0e-5,0.4,0.6000000000000001,-1.1102230246251565e-16,0.8847359999976407,0.11526355763192633,4.4237043301015306e-7,false
5,3,0.0,1.0e-5,0.5,0.0,0.5,0.8509433548772353,0.05880742375988243,0.09024922136288235,false
5,3,0.0,1.0e-5,0.5,0.1,0.4,0.862715373155451,0.07028525245428291,0.0669993743902662,false
5,3,0.0,1.0e-5,0.5,0.2,0.3,0.8721281028064668,0.08166938512948341,0.04620251206405006,false
5,3,0.0,1.0e-5,0.5,0.30000000000000004,0.19999999999999996,0.8790340878302825,0.09296020578548389,0.028005706384233896,false
5,3,0.0,1.0e-5,0.5,0.4,0.09999999999999998,0.883285872226898,0.10415809842228436,0.012556029350817744,false
5,3,0.0,1.0e-5,0.5,0.5,0.0,0.8847359999963138,0.11526344703988486,5.529638015969352e-7,false
5,3,0.0,1.0e-5,0.6000000000000001,0.0,0.3999999999999999,0.8627152669858333,0.07028513814511139,0.06699959486905532,false
5,3,0.0,1.0e-5,0.6000000000000001,0.1,0.29999999999999993,0.872128020967008,0.08166927175535207,0.04620270727764006,false
5,3,0.0,1.0e-5,0.6000000000000001,0.2,0.1999999999999999,0.8790340317955426,0.09296009334255279,0.028005874861904805,false
5,3,0.0,1.0e-5,0.6000000000000001,0.30000000000000004,0.09999999999999987,0.8832858434714372,0.1041579869067135,0.012556169621849547,false
5,3,0.0,1.0e-5,0.6000000000000001,0.4,-1.1102230246251565e-16,0.8847359999946917,0.11526333644783417,6.635574742864262e-7,false
5,3,0.0,1.0e-5,0.7000000000000001,0.0,0.29999999999999993,0.8721279391272987,0.08166915838121144,0.0462029024914901,false
5,3,0.0,1.0e-5,0.7000000000000001,0.1,0.19999999999999993,0.8790339757605374,0.0929599808996124,0.02800604333985045,false
5,3,0.0,1.0e-5,0.7000000000000001,0.2,0.09999999999999992,0.883285814715696,0.10415787539113332,0.01255630989317078,false
5,3,0.0,1.0e-5,0.7000000000000001,0.30000000000000004,-1.1102230246251565e-16,0.8847359999927749,0.11526322585577428,7.741514511153136e-7,false
5,3,0.0,1.0e-5,0.8,0.0,0.19999999999999996,0.8790339197252665,0.09295986845666265,0.028006211818070795,false
5,3,0.0,1.0e-5,0.8,0.1,0.09999999999999995,0.8832857859596749,0.10415776387554393,0.012556450164781442,false
5,3,0.0,1.0e-5,0.8,0.2,-5.551115123125783e-17,0.8847359999905631,0.11526311526370514,8.847457320773085e-7,false
5,3,0.0,1.0e-5,0.9,0.0,0.09999999999999998,0.8832857572033735,0.10415765235994526,0.012556590436681513,false
5,3,0.0,1.0e-5,1.0,0.0,0.0,0.8847359999852545,0.11526289407953924,1.1059352063754862e-6,false
10,3,0.0,1.0e-5,0.9702989999951919,0.02970070606170196,2.939431065295185e-7,0.9702989999951916,0.02970070606014628,2.939446622565321e-7,true
10,3,0.0,1.0e-5,0.0,0.0,1.0,0.926559,0.0,0.07344099999999995,false
10,3,0.0,1.0e-5,0.0,0.1,0.9,0.9345153060000002,0.0029970010000000026,0.062487692999999976,false
10,3,0.0,1.0e-5,0.0,0.2,0.8,0.9417455280000002,0.005988008000000007,0.052266463999999985,false
10,3,0.0,1.0e-5,0.0,0.30000000000000004,0.7,0.9482234220000001,0.008973027000000012,0.042803550999999974,false
10,3,0.0,1.0e-5,0.0,0.4,0.6,0.9539227440000001,0.01195206400000002,0.034125191999999985,false
10,3,0.0,1.0e-5,0.0,0.5,0.5,0.9588172500000004,0.014925125000000032,0.026257624999999996,false
10,3,0.0,1.0e-5,0.0,0.6000000000000001,0.3999999999999999,0.9628806960000001,0.017892216000000037,0.019227087999999982,false
10,3,0.0,1.0e-5,0.0,0.7000000000000001,0.29999999999999993,0.9660868380000001,0.020853343000000052,0.01305981899999999,false
10,3,0.0,1.0e-5,0.0,0.8,0.19999999999999996,0.9684094320000003,0.023808512000000066,0.007782055999999996,false
10,3,0.0,1.0e-5,0.0,0.9,0.09999999999999998,0.9698222340000002,0.026757729000000074,0.003420036999999998,false
10,3,0.0,1.0e-5,0.0,1.0,0.0,0.970299,0.02970100000000009,0.0,false
10,3,0.0,1.0e-5,0.1,0.0,0.9,0.9345152300235838,0.002996971059969702,0.06248779891644658,false
10,3,0.0,1.0e-5,0.1,0.1,0.8,0.9417454594156426,0.0059879781198797066,0.05226656246447791,false
10,3,0.0,1.0e-5,0.1,0.2,0.7,0.9482233610701412,0.008972997179729714,0.042803641750129205,false
10,3,0.0,1.0e-5,0.1,0.30000000000000004,0.6,0.9539226909870799,0.011952034239519722,0.03412527477340052,false
10,3,0.0,1.0e-5,0.1,0.4,0.5,0.9588172051664585,0.014925095299249728,0.026257699534291835,false
10,3,0.0,1.0e-5,0.1,0.5,0.4,0.9628806596082772,0.017892186358919735,0.019227154032803152,false
10,3,0.0,1.0e-5,0.1,0.6000000000000001,0.29999999999999993,0.9660868103125361,0.020853313418529754,0.013059876268934465,false
10,3,0.0,1.0e-5,0.1,0.7000000000000001,0.19999999999999996,0.9684094132792347,0.023808482478079766,0.007782104242685783,false
10,3,0.0,1.0e-5,0.1,0.8,0.09999999999999998,0.9698222245083734,0.02675769953756978,0.0034200759540570975,false
10,3,0.0,1.0e-5,0.1,0.9,0.0,0.970298999999952,0.029700970596999797,2.9403048410995597e-8,false
10,3,0.0,1.0e-5,0.2,0.0,0.8,0.9417453908312098,0.005987948239758812,0.05226666092903164,false
10,3,0.0,1.0e-5,0.2,0.1,0.7000000000000001,0.9482233001402045,0.008972967359458815,0.042803732500336894,false
10,3,0.0,1.0e-5,0.2,0.2,0.6000000000000001,0.9539226379740793,0.011952004479038825,0.034125357546882146,false
10,3,0.0,1.0e-5,0.2,0.30000000000000004,0.5,0.958817160332834,0.014925065598498835,0.02625777406866739,false
10,3,0.0,1.0e-5,0.2,0.4,0.4,0.9628806232164686,0.01789215671783884,0.019227220065692645,false
10,3,0.0,1.0e-5,0.2,0.5,0.30000000000000004,0.9660867826249837,0.02085328383705886,0.013059933537957903,false
10,3,0.0,1.0e-5,0.2,0.6000000000000001,0.19999999999999996,0.9684093945583783,0.023808452956158875,0.007782152485463144,false
10,3,0.0,1.0e-5,0.2,0.7000000000000001,0.09999999999999998,0.969822215016653,0.026757670075138885,0.0034201149082083953,false
10,3,0.0,1.0e-5,0.2,0.8,0.0,0.9702989999998078,0.02970094119399891,5.880619364396504e-8,false
10,3,0.0,1.0e-5,0.30000000000000004,0.0,0.7,0.9482232392101897,0.00897293753918732,0.04280382325062303,false
