S,D,p_r,p_0,gen,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full
5,3,0.5,1.0e-5,0,1.0,0.0,0.0,0.0,0.0
5,3,0.5,1.0e-5,1,0.88472715264,0.11526400000000003,8.84736e-6,0.0,0.0
5,3,0.5,1.0e-5,2,0.8847232389350984,0.11526302155240224,8.847281724451876e-6,3.91377163514996e-6,9.784591400310773e-7
5,3,0.5,1.0e-5,3,0.8847210748548104,0.1152624805189638,8.84723844214341e-6,6.077878911678492e-6,1.5195088720563404e-6
5,3,0.5,1.0e-5,4,0.8847198782290147,0.11526218135465037,8.847214509269233e-6,7.274516600571757e-6,1.8186852254817834e-6
5,3,0.5,1.0e-5,5,0.8847192165563612,0.11526201593199357,8.847201275627331e-6,7.936194903630693e-6,1.984115466311242e-6
5,3,0.5,1.0e-5,6,0.8847188506854189,0.11526192446172913,8.847193958106905e-6,8.30206868650028e-6,2.0755902076498003e-6
5,3,0.5,1.0e-5,7,0.8847186483776311,0.11526187388337031,8.84718991189585e-6,8.50437795825771e-6,2.126171128551724e-6
5,3,0.5,1.0e-5,8,0.8847185365118515,0.11526184591614053,8.847187674549936e-6,8.616244532292837e-6,2.1541398015562585e-6
5,3,0.5,1.0e-5,9,0.8847184746558429,0.11526183045170313,8.847186437413083e-6,8.678100971957628e-6,2.1696050450661375e-6
5,3,0.5,1.0e-5,10,0.8847184404526598,0.11526182190066633,8.847185753340225e-6,8.712304390709489e-6,2.1781565300545983e-6
5,3,0.5,1.0e-5,11,0.8847184215400637,0.11526181717238392,8.847185375083224e-6,8.731217116461022e-6,2.182885061080669e-6
5,3,0.5,1.0e-5,12,0.8847184110823735,0.11526181455788757,8.847185165926613e-6,8.741674878071935e-6,2.1854996951131123e-6
5,3,0.5,1.0e-5,13,0.8847184052998104,0.11526181311220593,8.847185050273799e-6,8.747457480752399e-6,2.1869454529499897e-6
5,3,0.5,1.0e-5,14,0.8847184021023512,0.11526181231281857,8.847184986323756e-6,8.750654961735931e-6,2.1877448824839906e-6
5,3,0.5,1.0e-5,15,0.8847184003343213,0.11526181187079859,8.847184950962684e-6,8.75242300377953e-6,2.188186925787465e-6
5,3,0.5,1.0e-5,16,0.8847183993566918,0.11526181162638434,8.847184931409833e-6,8.753400639827246e-6,2.1884313529348405e-6
5,3,0.5,1.0e-5,17,0.884718398816113,0.11526181149123585,8.847184920598115e-6,8.753941222131758e-6,2.1885665085398045e-6
5,3,0.5,1.0e-5,18,0.884718398517201,0.11526181141650574,8.847184914619795e-6,8.75424013626111e-6,2.188641242617838e-6
5,3,0.5,1.0e-5,19,0.8847183983519181,0.11526181137518382,8.84718491131409e-6,8.754405420355686e-6,2.1886825667080462e-6
5,3,0.5,1.0e-5,20,0.8847183982605252,0.11526181135233494,8.847184909486208e-6,8.754496813934116e-6,2.1887054167983303e-6
