pop,gen,cost,compositionality,agent
1,1,47.876999999999974,0.0,rational
1,2,18.98771249999999,0.0,rational
1,3,19.91962499999999,0.0,rational
1,4,22.71536249999999,0.0,rational
1,5,22.715362499999987,0.0,rational
1,6,21.783449999999988,0.0,rational
1,7,23.647274999999983,0.0,rational
1,8,23.647274999999986,0.0,rational
1,9,24.579187499999986,0.0,rational
1,10,23.647274999999986,0.0,rational
1,11,21.78344999999999,0.0,rational
1,12,20.85153749999999,0.0,rational
1,13,18.98771249999999,0.0,rational
1,14,19.91962499999999,0.0,rational
1,15,18.98771249999999,0.0,rational
1,16,21.783449999999988,0.0,rational
1,17,18.98771249999999,0.0,rational
1,18,21.783449999999984,0.0,rational
1,19,25.511099999999985,0.0,rational
1,20,25.511099999999985,0.0,rational
1,21,18.987712499999986,0.0,rational
1,22,20.851537499999992,0.0,rational
1,23,18.987712499999986,0.0,rational
1,24,20.85153749999999,0.0,rational
1,25,25.51109999999998,0.0,rational
1,26,18.05579999999999,0.0,rational
1,27,27.374924999999983,0.0,rational
1,28,18.987712499999986,0.0,rational
1,29,18.05579999999999,0.0,rational
1,30,25.511099999999985,0.0,rational
1,31,26.443012499999984,0.0,rational
2,1,47.876999999999974,0.0,rational
2,2,21.783449999999988,0.0,rational
2,3,18.05579999999999,0.0,rational
2,4,20.851537499999992,0.0,rational
2,5,22.715362499999983,0.0,rational
2,6,24.579187499999986,0.0,rational
2,7,21.783449999999988,0.0,rational
2,8,19.91962499999999,0.0,rational
2,9,22.715362499999987,0.0,rational
2,10,19.919624999999993,0.0,rational
2,11,22.71536249999999,0.0,rational
2,12,22.715362499999983,0.0,rational
2,13,18.987712499999986,0.0,rational
2,14,21.783449999999988,0.0,rational
2,15,22.715362499999987,0.0,rational
2,16,25.511099999999985,0.0,rational
2,17,20.85153749999999,0.0,rational
2,18,20.85153749999999,0.0,rational
2,19,18.987712499999986,0.0,rational
2,20,18.98771249999999,0.0,rational
2,21,21.783449999999988,0.0,rational
2,22,22.715362499999987,0.0,rational
2,23,22.715362499999987,0.0,rational
2,24,19.91962499999999,0.0,rational
2,25,22.715362499999987,0.0,rational
2,26,29.238749999999985,0.0,rational
2,27,20.85153749999999,0.0,rational
2,28,21.783449999999984,0.0,rational
2,29,32.03448749999998,0.0,rational
2,30,19.91962499999999,0.0,rational
2,31,19.919624999999986,0.0,rational
3,1,47.876999999999974,0.0,rational
3,2,21.783449999999988,0.0,rational
3,3,22.715362499999987,0.0,rational
3,4,25.51109999999999,0.0,rational
3,5,21.783449999999988,0.0,rational
3,6,19.919624999999986,0.0,rational
3,7,19.91962499999999,0.0,rational
3,8,21.783449999999988,0.0,rational
3,9,21.783449999999988,0.0,rational
3,10,23.647274999999986,0.0,rational
3,11,19.919624999999993,0.0,rational
3,12,19.91962499999999,0.0,rational
3,13,23.647274999999986,0.0,rational
3,14,20.85153749999999,0.0,rational
3,15,25.51109999999999,0.0,rational
3,16,21.783449999999988,0.0,rational
3,17,20.851537499999985,0.0,rational
3,18,19.919624999999986,0.0,rational
3,19,24.579187499999986,0.0,rational
3,20,23.647274999999983,0.0,rational
