S,G,D,gen,compositionality
2,2,2,1,1.0e-9
2,2,2,2,1.1249999998124986e-9
2,2,2,3,1.2656249995517564e-9
2,2,2,4,1.4238281241953825e-9
2,2,2,5,1.6018066393396888e-9
2,2,2,6,1.802032468776065e-9
2,2,2,7,2.027286526764196e-9
2,2,2,8,2.280697341839119e-9
2,2,2,9,2.5657845085937117e-9
2,2,2,10,2.8865075709335584e-9
2,2,2,11,3.247321015738005e-9
2,2,2,12,3.653236140728042e-9
2,2,2,13,4.109890655816632e-9
2,2,2,14,4.6236269846266175e-9
2,2,2,15,5.201580353696587e-9
2,2,2,16,5.851777892835567e-9
2,2,2,17,6.583250123019383e-9
2,2,2,18,7.406156380270701e-9
2,2,2,19,8.331925917519928e-9
2,2,2,20,9.373416644193462e-9
2,2,2,21,1.0545093708243723e-8
2,2,2,22,1.1863230400924344e-8
2,2,2,23,1.3346134174651807e-8
2,2,2,24,1.501440091308587e-8
2,2,2,25,1.689120098495306e-8
2,2,2,26,1.900260105457609e-8
2,2,2,27,2.1377926118691978e-8
2,2,2,28,2.4050166797838035e-8
2,2,2,29,2.7056437539115806e-8
2,2,2,30,3.04384920942457e-8
2,2,2,31,3.4243303432307304e-8
2,2,2,32,3.85237161414825e-8
2,2,2,33,4.333918038090343e-8
2,2,2,34,4.8756577576337925e-8
2,2,2,35,5.4851149327654265e-8
2,2,2,36,6.170754242948953e-8
2,2,2,37,6.942098451920934e-8
2,2,2,38,7.809860668049684e-8
2,2,2,39,8.786093137192302e-8
2,2,2,40,9.884354634599904e-8
2,2,2,41,1.1119898780736529e-7
2,2,2,42,1.2509885896480842e-7
2,2,2,43,1.4073621340108617e-7
2,2,2,44,1.583282363624691e-7
2,2,2,45,1.7811926120755968e-7
2,2,2,46,2.0038416290979106e-7
2,2,2,47,2.2543217574467524e-7
2,2,2,48,2.5361118818407215e-7
2,2,2,49,2.853125746473368e-7
2,2,2,50,3.209766312151413e-7
2,2,2,51,3.610986907996594e-7
2,2,2,52,4.0623600270106743e-7
2,2,2,53,4.570154720960093e-7
2,2,2,54,5.14142366946171e-7
2,2,2,55,5.784101132502477e-7
2,2,2,56,6.507113146768555e-7
2,2,2,57,7.320501496192349e-7
2,2,2,58,8.235563178408736e-7
2,2,2,59,9.26500730400044e-7
2,2,2,60,1.042313160749373e-6
2,2,2,61,1.1726021021399093e-6
2,2,2,62,1.3191771070957053e-6
2,2,2,63,1.4840739191898735e-6
2,2,2,64,1.6695827461244693e-6
2,2,2,65,1.878280066732549e-6
2,2,2,66,2.1130644135861177e-6
2,2,2,67,2.377196628089156e-6
2,2,2,68,2.674345147025836e-6
2,2,2,69,3.0086369493811974e-6
2,2,2,70,3.384714870823293e-6
2,2,2,71,3.807802081620934e-6
2,2,2,72,4.2837746231941666e-6
2,2,2,73,4.819243010332491e-6
2,2,2,74,5.421644031917214e-6
2,2,2,75,6.099344024489869e-6
2,2,2,76,6.8617550521765675e-6
2,2,2,77,7.719465605508186e-6
2,2,2,78,8.684387633043733e-6
2,2,2,79,9.76992194618885e-6
2,2,2,80,1.0991144292329672e-5
2,2,2,81,1.2365014677885986e-5
2,2,2,82,1.3910612845073999e-5
2,2,2,83,1.5649403168492652e-5
2,2,2,84,1.7605532645088065e-5
2,2,2,85,1.9806166109202873e-5
2,2,2,86,2.2281863319562773e-5
2,2,2,87,2.5067003144239456e-5
2,2,2,88,2.8200260720773124e-5
2,2,2,89,3.172514420061262e-5
2,2,2,90,3.569059850979395e-5
2,2,2,91,4.015168448248908e-5
2,2,2,92,4.517034276321896e-5
2,2,2,93,5.081625304114657e-5
2,2,2,94,5.716780049161991e-5
2,2,2,95,6.431316277355742e-5
2,2,2,96,7.23515325859572e-5
2,2,2,97,8.139449264465173e-5
2,2,2,98,9.156756202583952e-5
2,2,2,99,0.00010301193516311653
2,2,2,100,0.00011588643740998366
2,2,2,101,0.00013036972402378632
4,2,2,1,1.0e-9
4,2,2,2,1.0937499997656238e-9
4,2,2,3,1.1962890619632712e-9
4,2,2,4,1.30844116118691e-9
4,2,2,5,1.4311075196469293e-9
4,2,2,6,1.5652738491338086e-9
4,2,2,7,1.7120182719158647e-9
4,2,2,8,1.8725199842210208e-9
4,2,2,9,2.048068731919939e-9
4,2,2,10,2.2400751745543214e-9
4,2,2,11,2.4500822209927034e-9
4,2,2,12,2.679777427803829e-9
4,2,2,13,2.9310065599773367e-9
4,2,2,14,3.205788422961733e-9
4,2,2,15,3.506331085205701e-9
4,2,2,16,3.835049621562239e-9
4,2,2,17,4.194585520136586e-9
4,2,2,18,4.5878279085256555e-9
4,2,2,19,5.017936770016763e-9
4,2,2,20,5.488368336304331e-9
4,2,2,21,6.002902860772968e-9
4,2,2,22,6.565674995524745e-9
4,2,2,23,7.181207016251718e-9
4,2,2,24,7.854445161938639e-9
4,2,2,25,8.59079938141124e-9
4,2,2,26,9.396186806121211e-9
4,2,2,27,1.0277079298502512e-8
4,2,2,28,1.1240555457982777e-8
4,2,2,29,1.2294357502555367e-8
4,2,2,30,1.344695348299385e-8
4,2,2,31,1.47076053296447e-8
4,2,2,32,1.608644327860032e-8
4,2,2,33,1.7594547275319024e-8
4,2,2,34,1.924403600982511e-8
4,2,2,35,2.1048164298949387e-8
4,2,2,36,2.302142959814179e-8
4,2,2,37,2.517968849875207e-8
4,2,2,38,2.7540284146912377e-8
4,2,2,39,3.012218560791955e-8
4,2,2,40,3.294614029600266e-8
4,2,2,41,3.6034840694351004e-8
4,2,2,42,3.9413106705108075e-8
4,2,2,43,4.310808509463532e-8
4,2,2,44,4.714946763671655e-8
4,2,2,45,5.156972970662597e-8
4,2,2,46,5.640439124331647e-8
4,2,2,47,6.169230217672374e-8
4,2,2,48,6.747595461377424e-8
4,2,2,49,7.380182429170523e-8
4,2,2,50,8.072074404248011e-8
4,2,2,51,8.828831226931309e-8
4,2,2,52,9.656533971764876e-8
4,2,2,53,1.0561833813066306e-7
4,2,2,54,1.1552005471590492e-7
4,2,2,55,1.263500567178141e-7
4,2,2,56,1.3819537079346777e-7
4,2,2,57,1.5115118232927096e-7
4,2,2,58,1.6532160031794968e-7
4,2,2,59,1.8082049394199994e-7
4,2,2,60,1.9777240758592546e-7
4,2,2,61,2.1631356162977957e-7
4,2,2,62,2.365929470657999e-7
4,2,2,63,2.5877352273379147e-7
4,2,2,64,2.8303352479545884e-7
4,2,2,65,3.095678989697262e-7
4,2,2,66,3.385898670374466e-7
4,2,2,67,3.703326402027314e-7
4,2,2,68,4.050512930780816e-7
4,2,2,69,4.430248133510541e-7
4,2,2,70,4.845583436017037e-7
4,2,2,71,5.29985633283866e-7
4,2,2,72,5.796717205718597e-7
4,2,2,73,6.340158656209466e-7
4,2,2,74,6.93454758809758e-7
4,2,2,75,7.584660297420382e-7
4,2,2,76,8.295720852012793e-7
4,2,2,77,9.073443068944046e-7
4,2,2,78,9.924076427109834e-7
4,2,2,79,1.0854456283855463e-6
4,2,2,80,1.1872058799078913e-6
4,2,2,81,1.2985061008075837e-6
4,2,2,82,1.4202406525743667e-6
4,2,2,83,1.5533877409992658e-6
4,2,2,84,1.6990172761679117e-6
4,2,2,85,1.8582994692477865e-6
4,2,2,86,2.0325142351279897e-6
4,2,2,87,2.2230614764413664e-6
4,2,2,88,2.4314723315759486e-6
4,2,2,89,2.65942147702267e-6
4,2,2,90,2.9087405828710665e-6
4,2,2,91,3.181433029521847e-6
4,2,2,92,3.4796900038091784e-6
4,2,2,93,3.805908103796948e-6
4,2,2,94,4.162708593620922e-6
4,2,2,95,4.552958462989407e-6
4,2,2,96,4.979793460434326e-6
4,2,2,97,5.446643285238423e-6
4,2,2,98,5.957259140278799e-6
4,2,2,99,6.515743866960456e-6
4,2,2,100,7.12658490411657e-6
4,2,2,101,7.794690335390206e-6
6,2,2,1,1.0e-9
6,2,2,2,1.0694444442013875e-9
6,2,2,3,1.1437114192151624e-9
6,2,2,4,1.2231358230093879e-9
6,2,2,5,1.3080758103547462e-9
6,2,2,6,1.3989144078801614e-9
6,2,2,7,1.496061241285079e-9
6,2,2,8,1.599954382496975e-9
6,2,2,9,1.7110623251037423e-9
6,2,2,10,1.829886096968786e-9
6,2,2,11,1.9569615195555298e-9
6,2,2,12,2.0928616241493827e-9
6,2,2,13,2.238199235872928e-9
6,2,2,14,2.393629737146503e-9
6,2,2,15,2.5598540230557637e-9
6,2,2,16,2.737621661953031e-9
6,2,2,17,2.9277342755448373e-9
6,2,2,18,3.131049153707622e-9
6,2,2,19,3.3484831203323048e-9
6,2,2,20,3.5810166676301503e-9
6,2,2,21,3.8296983775431416e-9
6,2,2,22,4.095649650196616e-9
6,2,2,23,4.3800697607164955e-9
6,2,2,24,4.684241267214326e-9
6,2,2,25,5.009535794326602e-9
6,2,2,26,5.357420218388574e-9
6,2,2,27,5.7294632821338236e-9
6,2,2,28,6.127342668747712e-9
6,2,2,29,6.55285256717425e-9
6,2,2,30,7.007911762791218e-9
6,2,2,31,7.494572289937255e-9
6,2,2,32,8.015028685308546e-9
6,2,2,33,8.571627883952029e-9
6,2,2,34,9.166879802479603e-9
6,2,2,35,9.803468657227428e-9
6,2,2,36,1.048426506839751e-8
6,2,2,37,1.1212339004764025e-8
6,2,2,38,1.1990973627316511e-8
6,2,2,39,1.2823680094266082e-8
6,2,2,40,1.3714213394175945e-8
6,2,2,41,1.4666589278613238e-8
6,2,2,42,1.568510237067797e-8
6,2,2,43,1.6774345531066804e-8
6,2,2,44,1.7939230569000202e-8
