S,G,D,gen,compositionality
6,2,2,45,1.9185010391406003e-8
6,2,2,46,2.0517302690237912e-8
6,2,2,47,2.194211527474342e-8
6,2,2,48,2.3465873162913303e-8
6,2,2,49,2.5095447554277705e-8
6,2,2,50,2.6838186814697264e-8
6,2,2,51,2.8701949612870055e-8
6,2,2,52,3.0695140357978493e-8
6,2,2,53,3.282674709827757e-8
6,2,2,54,3.510638205152015e-8
6,2,2,55,3.7544324949986625e-8
6,2,2,56,4.015156939557474e-8
6,2,2,57,4.293987243398132e-8
6,2,2,58,4.592180757152053e-8
6,2,2,59,4.911082147365084e-8
6,2,2,60,5.2521294600879606e-8
6,2,2,61,5.6168606055475025e-8
6,2,2,62,6.006920293139723e-8
6,2,2,63,6.424067448016904e-8
6,2,2,64,6.870183142712348e-8
6,2,2,65,7.347279079568785e-8
6,2,2,66,7.857506662220232e-8
6,2,2,67,8.403166697033134e-8
6,2,2,68,8.986719768253328e-8
6,2,2,69,9.610797333643164e-8
6,2,2,70,1.0278213590642016e-7
6,2,2,71,1.0991978166557542e-7
6,2,2,72,1.1755309690011159e-7
6,2,2,73,1.257165030483446e-7
6,2,2,74,1.3444681191862996e-7
6,2,2,75,1.437833916861869e-7
6,2,2,76,1.5376834441732335e-7
6,2,2,77,1.6444669592154966e-7
6,2,2,78,1.7586659878766387e-7
6,2,2,79,1.8807954951932742e-7
6,2,2,80,2.0114062074923136e-7
6,2,2,81,2.151087095789403e-7
6,2,2,82,2.3004680316420347e-7
6,2,2,83,2.4602226274328965e-7
6,2,2,84,2.631071273890503e-7
6,2,2,85,2.8137843885434776e-7
6,2,2,86,3.009185889755951e-7
6,2,2,87,3.218156912008457e-7
6,2,2,88,3.4416397791766227e-7
6,2,2,89,3.680642253722945e-7
6,2,2,90,3.936242080961025e-7
6,2,2,91,4.2095918488818915e-7
6,2,2,92,4.5019241854547886e-7
6,2,2,93,4.814557316836199e-7
6,2,2,94,5.148901011547967e-7
6,2,2,95,5.506462937425358e-7
6,2,2,96,5.888855459996771e-7
6,2,2,97,6.297802912946797e-7
6,2,2,98,6.73514937344223e-7
6,2,2,99,7.202866977376902e-7
6,2,2,100,7.703064812024433e-7
6,2,2,101,8.237998426191214e-7
8,2,2,1,1.0e-9
8,2,2,2,1.054687499753905e-9
8,2,2,3,1.1123657221229499e-9
8,2,2,4,1.17319822224704e-9
8,2,2,5,1.2373574996874498e-9
8,2,2,6,1.305025487574825e-9
8,2,2,7,1.3763940685074504e-9
8,2,2,8,1.4516656186627392e-9
8,2,2,9,1.531053581664752e-9
8,2,2,10,1.6147830738351668e-9
8,2,2,11,1.7030915225438297e-9
8,2,2,12,1.7962293394691435e-9
8,2,2,13,1.894460630677348e-9
8,2,2,14,1.998063945534287e-9
8,2,2,15,2.1073330665732176e-9
8,2,2,16,2.2225778425585704e-9
8,2,2,17,2.3441250671078255e-9
8,2,2,18,2.4723194053630096e-9
8,2,2,19,2.6075243713395838e-9
8,2,2,20,2.7501233587239776e-9
8,2,2,21,2.9005207280429428e-9
8,2,2,22,3.0591429532873936e-9
8,2,2,23,3.226439831242267e-9
8,2,2,24,3.4028857569515125e-9
8,2,2,25,3.58898106893512e-9
8,2,2,26,3.785253467972632e-9
8,2,2,27,3.992259513476308e-9
8,2,2,28,4.2105862016972705e-9
8,2,2,29,4.440852630239572e-9
8,2,2,30,4.683711753602527e-9
8,2,2,31,4.939852234729049e-9
8,2,2,32,5.210000397810574e-9
8,2,2,33,5.4949222878858305e-9
8,2,2,34,5.7954258430739746e-9
8,2,2,35,6.112363185601544e-9
8,2,2,36,6.446633038119827e-9
8,2,2,37,6.7991832721645625e-9
8,2,2,38,7.171013595984417e-9
8,2,2,39,7.563178389359812e-9
8,2,2,40,7.976789693450951e-9
8,2,2,41,8.413020364152777e-9
8,2,2,42,8.873107397899126e-9
8,2,2,43,9.358355439346246e-9
8,2,2,44,9.870140480882887e-9
8,2,2,45,1.0409913764456765e-8
8,2,2,46,1.0979205896782219e-8
8,2,2,47,1.1579631189597617e-8
8,2,2,48,1.2212892237280533e-8
8,2,2,49,1.2880784744800738e-8
8,2,2,50,1.3585202619701444e-8
8,2,2,51,1.43281433425478e-8
8,2,2,52,1.5111713631071367e-8
8,2,2,53,1.5938135414071663e-8
8,2,2,54,1.680975213201493e-8
8,2,2,55,1.7729035382196288e-8
8,2,2,56,1.8698591927308264e-8
8,2,2,57,1.972117108728935e-8
8,2,2,58,2.0799672535413595e-8
8,2,2,59,2.1937154520727407e-8
8,2,2,60,2.3136842540149774e-8
8,2,2,61,2.4402138484826882e-8
8,2,2,62,2.5736630286675808e-8
8,2,2,63,2.714410209247221e-8
8,2,2,64,2.8628544994331813e-8
8,2,2,65,3.019416834701239e-8
8,2,2,66,3.184541170412886e-8
8,2,2,67,3.358695740712719e-8
8,2,2,68,3.542374386271504e-8
8,2,2,69,3.7360979546398444e-8
8,2,2,70,3.940415777183381e-8
8,2,2,71,4.155907226787413e-8
8,2,2,72,4.383183360748109e-8
8,2,2,73,4.62288865350875e-8
8,2,2,74,4.875702824154562e-8
8,2,2,75,5.1423427638479185e-8
8,2,2,76,5.423564568669593e-8
8,2,2,77,5.720165683630086e-8
8,2,2,78,6.032987163931025e-8
8,2,2,79,6.36291605988792e-8
8,2,2,80,6.710887932277808e-8
8,2,2,81,7.077889505243424e-8
8,2,2,82,7.464961464277016e-8
8,2,2,83,7.873201407217338e-8
8,2,2,84,8.303766956627669e-8
8,2,2,85,8.757879042380338e-8
8,2,2,86,9.236825363755519e-8
8,2,2,87,9.741964040871309e-8
8,2,2,88,1.0274727465799092e-7
8,2,2,89,1.0836626364283746e-7
8,2,2,90,1.142925407958657e-7
8,2,2,91,1.2054291090597002e-7
8,2,2,92,1.2713509777025202e-7
8,2,2,93,1.3408779445186743e-7
8,2,2,94,1.4142071628630225e-7
8,2,2,95,1.4915465678637891e-7
8,2,2,96,1.5731154660450896e-7
8,2,2,97,1.659145157193799e-7
8,2,2,98,1.749879590234066e-7
8,2,2,99,1.8455760549691532e-7
8,2,2,100,1.9465059116520323e-7
8,2,2,101,2.0529553604534043e-7
10,2,2,1,1.0e-9
10,2,2,2,1.0449999997524987e-9
10,2,2,3,1.0920249994710824e-9
10,2,2,4,1.1411661241521298e-9
10,2,2,5,1.192518599416661e-9
10,2,2,6,1.2461819360384378e-9
10,2,2,7,1.3022601227758034e-9
10,2,2,8,1.3608618278809805e-9
10,2,2,9,1.4221006096772638e-9
10,2,2,10,1.486095136612199e-9
10,2,2,11,1.5529694172131451e-9
10,2,2,12,1.6228530403908372e-9
10,2,2,13,1.6958814265565916e-9
10,2,2,14,1.7721960900398197e-9
10,2,2,15,1.8519449133142913e-9
10,2,2,16,1.9352824335645825e-9
10,2,2,17,2.0223701421480178e-9
10,2,2,18,2.1133767975323993e-9
10,2,2,19,2.2084787523159285e-9
10,2,2,20,2.3078602949629867e-9
10,2,2,21,2.41171400691808e-9
10,2,2,22,2.5202411357898423e-9
10,2,2,23,2.633651985328358e-9
10,2,2,24,2.752166322951437e-9
10,2,2,25,2.876013805609577e-9
10,2,2,26,3.005434424814815e-9
10,2,2,27,3.140678971695897e-9
10,2,2,28,3.282009522980899e-9
10,2,2,29,3.429699948849055e-9
10,2,2,30,3.5840364436359537e-9
10,2,2,31,3.745318080420343e-9
10,2,2,32,3.913857390567473e-9
10,2,2,33,4.0899809693517286e-9
10,2,2,34,4.274030108832389e-9
10,2,2,35,4.466361459208669e-9
10,2,2,36,4.6673477199358184e-9
10,2,2,37,4.877378361941339e-9
10,2,2,38,5.096860382340959e-9
10,2,2,39,5.326219093116741e-9
10,2,2,40,5.565898945285752e-9
10,2,2,41,5.816364390156247e-9
10,2,2,42,6.0781007793403285e-9
10,2,2,43,6.351615305267168e-9
10,2,2,44,6.637437984019287e-9
10,2,2,45,6.936122682396373e-9
10,2,2,46,7.2482481911970284e-9
10,2,2,47,7.574419346797958e-9
10,2,2,48,7.915268203204317e-9
10,2,2,49,8.27145525684227e-9
10,2,2,50,8.643670726466938e-9
10,2,2,51,9.032635890666465e-9
10,2,2,52,9.43910448555327e-9
10,2,2,53,9.863864165351715e-9
10,2,2,54,1.0307738028711796e-8
10,2,2,55,1.0771586213707082e-8
10,2,2,56,1.1256307564607169e-8
10,2,2,57,1.1762841373655135e-8
10,2,2,58,1.2292169201224356e-8
10,2,2,59,1.2845316777882825e-8
10,2,2,60,1.3423355992049517e-8
10,2,2,61,1.4027406967095544e-8
10,2,2,62,1.4658640231914718e-8
10,2,2,63,1.5318278989169137e-8
10,2,2,64,1.6007601485605943e-8
10,2,2,65,1.6727943489037984e-8
10,2,2,66,1.748070087678816e-8
10,2,2,67,1.826733234061382e-8
10,2,2,68,1.908936221335182e-8
10,2,2,69,1.99483834227627e-8
10,2,2,70,2.084606057829734e-8
10,2,2,71,2.1784133196767548e-8
10,2,2,72,2.2764419073171354e-8
10,2,2,73,2.3788817803204898e-8
10,2,2,74,2.4859314464286865e-8
10,2,2,75,2.5977983462228302e-8
10,2,2,76,2.7146992551001764e-8
10,2,2,77,2.8368607033399453e-8
10,2,2,78,2.9645194150719856e-8
10,2,2,79,3.097922766998995e-8
10,2,2,80,3.2373292677610584e-8
10,2,2,81,3.383009058871554e-8
10,2,2,82,3.535244438195013e-8
10,2,2,83,3.694330406981349e-8
10,2,2,84,3.860575241516509e-8
10,2,2,85,4.034301090497256e-8
10,2,2,86,4.2158445992875595e-8
10,2,2,87,4.405557562266458e-8
10,2,2,88,4.60380760453132e-8
10,2,2,89,4.8109788942774885e-8
10,2,2,90,5.027472887234807e-8
10,2,2,91,5.25370910460356e-8
10,2,2,92,5.490125945997096e-8
10,2,2,93,5.737181538966794e-8
10,2,2,94,5.99535462675504e-8
10,2,2,95,6.265145495996927e-8
10,2,2,96,6.547076946167978e-8
10,2,2,97,6.841695302656592e-8
10,2,2,98,7.14957147542437e-8
10,2,2,99,7.471302065305448e-8
10,2,2,100,7.807510520088813e-8
10,2,2,101,8.158848342623705e-8
12,2,2,1,1.0e-9
12,2,2,2,1.0381944441961795e-9
12,2,2,3,1.077847703949969e-9
12,2,2,4,1.1190154979096364e-9
12,2,2,5,1.1617556728661406e-9
12,2,2,6,1.2061282850363686e-9
12,2,2,7,1.2521956844508993e-9
12,2,2,8,1.300022602564951e-9
12,2,2,9,1.3496762432155544e-9
12,2,2,10,1.4012263770527904e-9
12,2,2,11,1.45474543957777e-9
12,2,2,12,1.5103086329251367e-9
12,2,2,13,1.5679940315330627e-9
12,2,2,14,1.6278826918492859e-9
12,2,2,15,1.6900587662272974e-9
12,2,2,16,1.7546096211726972e-9
12,2,2,17,1.821625960105944e-9
12,2,2,18,1.891201950813945e-9
12,2,2,19,1.96343535776958e-9
12,2,2,20,2.0384276795050895e-9
12,2,2,21,2.116284291232384e-9
12,2,2,22,2.1971145929106145e-9
12,2,2,23,2.281032162969168e-9
12,2,2,24,2.3681549179019444e-9
12,2,2,25,2.458605277957285e-9
12,2,2,26,2.5525103391563496e-9
12,2,2,27,2.6500020518816047e-9
12,2,2,28,2.75121740628642e-9
12,2,2,29,2.856298624786255e-9
12,2,2,30,2.9653933619019462e-9
12,2,2,31,3.078654911735904e-9
12,2,2,32,3.1962424233727447e-9
12,2,2,33,3.3183211245069695e-9
12,2,2,34,3.445062553612084e-9
12,2,2,35,3.576644800977145e-9
12,2,2,36,3.713252758949679e-9
12,2,2,37,3.8550783817364325e-9
12,2,2,38,4.00232095512704e-9
12,2,2,39,4.155187376519641e-9
12,2,2,40,4.3138924456419545e-9
12,2,2,41,4.47865916637622e-9
12,2,2,42,4.649719060112206e-9
12,2,2,43,4.827312491068477e-9
12,2,2,44,5.01168900403928e-9
12,2,2,45,5.2031076750412345e-9
12,2,2,46,5.40183747535296e-9
12,2,2,47,5.608157649458928e-9
12,2,2,48,5.82235810742862e-9
12,2,2,49,6.044739832282342e-9
12,2,2,50,6.275615302916284e-9
12,2,2,51,6.5153089331807406e-9
12,2,2,52,6.764157527728893e-9
12,2,2,53,7.022510755276174e-9
12,2,2,54,7.290731639935781e-9
12,2,2,55,7.569197071320222e-9
12,2,2,56,7.85829833412607e-9
12,2,2,57,8.158441657945722e-9
12,2,2,58,8.470048788078868e-9
12,2,2,59,8.793557578145988e-9
12,2,2,60,9.129422605336082e-9
12,2,2,61,9.47811580915355e-9
12,2,2,62,9.840127154561584e-9
12,2,2,63,1.0215965320453813e-8
12,2,2,64,1.0606158414421927e-8
12,2,2,65,1.1011254714823184e-8
12,2,2,66,1.143182344119067e-8
12,2,2,67,1.1868455554069176e-8
12,2,2,68,1.2321764585399912e-8
12,2,2,69,1.2792387500621625e-8
12,2,2,70,1.328098559369872e-8
12,2,2,71,1.3788245416334769e-8
12,2,2,72,1.4314879742676439e-8
12,2,2,73,1.486162857086382e-8
12,2,2,74,1.5429260162834056e-8
12,2,2,75,1.6018572123840057e-8
12,2,2,76,1.6630392523200194e-8
12,2,2,77,1.726558105785451e-8
12,2,2,78,1.79250302603622e-8
12,2,2,79,1.8609666753037673e-8
12,2,2,80,1.9320452549987428e-8
12,2,2,81,2.0058386408877492e-8
12,2,2,82,2.0824505234330296e-8
12,2,2,83,2.161988553492381e-8
12,2,2,84,2.244564493583931e-8
12,2,2,85,2.3302943749283885e-8
12,2,2,86,2.419298660489378e-8
12,2,2,87,2.5117024142410554e-8
12,2,2,88,2.6076354769006597e-8
12,2,2,89,2.7072326483731464e-8
12,2,2,90,2.8106338771640823e-8
12,2,2,91,2.9179844570270865e-8
12,2,2,92,3.029435231121997e-8
12,2,2,93,3.145142803970761e-8
12,2,2,94,3.2652697615087944e-8
12,2,2,95,3.3899848995410095e-8
12,2,2,96,3.519463460923548e-8
12,2,2,97,3.6538873818045345e-8
12,2,2,98,3.793445547269667e-8
12,2,2,99,3.938334056752135e-8
12,2,2,100,4.088756499579503e-8
12,2,2,101,4.244924241044964e-8
14,2,2,1,1.0e-9
14,2,2,2,1.0331632650573968e-9
14,2,2,3,1.0674263322555347e-9
14,2,2,4,1.1028256746234673e-9
14,2,2,5,1.1393989747549e-9
14,2,2,6,1.1771851649213198e-9
14,2,2,7,1.2162244685153626e-9
14,2,2,8,1.2565584428686174e-9
14,2,2,9,1.2982300234893918e-9
14,2,2,10,1.3412835697675413e-9
14,2,2,11,1.3857649121950157e-9
14,2,2,12,1.4317214011524158e-9
14,2,2,13,1.4792019573134394e-9
14,2,2,14,1.5282571237209422e-9
14,2,2,15,1.5789391195899564e-9
14,2,2,16,1.6313018958950495e-9
14,2,2,17,1.6854011928011002e-9
14,2,2,18,1.7412945989986984e-9
14,2,2,19,1.7990416130072453e-9
14,2,2,20,1.8587037065111447e-9
14,2,2,21,1.9203443897963547e-9
14,2,2,22,1.9840292793570626e-9
14,2,2,23,2.0498261677444198e-9
14,2,2,24,2.1178050957316685e-9
14,2,2,25,2.188038426872516e-9
14,2,2,26,2.2606009245321013e-9
14,2,2,27,2.3355698314725555e-9
14,2,2,28,2.4130249520778946e-9
14,2,2,29,2.4930487373056944e-9
14,2,2,30,2.5757263724561593e-9
14,2,2,31,2.661145867851764e-9
14,2,2,32,2.7493981525242284e-9
14,2,2,33,2.8405771710083875e-9
14,2,2,34,2.9347799833461275e-9
14,2,2,35,3.032106868406683e-9
14,2,2,36,3.1326614306334745e-9
14,2,2,37,3.2365507103309455e-9
14,2,2,38,3.343885297608912e-9
14,2,2,39,3.4547794501056187e-9
14,2,2,40,3.569351214614953e-9
14,2,2,41,3.6877225527471427e-9
14,2,2,42,3.8100194707567776e-9
14,2,2,43,3.936372153676421e-9
14,2,2,44,4.066915103898432e-9
14,2,2,45,4.2017872843526315e-9
14,2,2,46,4.341132266432274e-9
14,2,2,47,4.485098382825603e-9
14,2,2,48,4.633838885415929e-9
14,2,2,49,4.787512108418071e-9
14,2,2,50,4.946281636924966e-9
14,2,2,51,5.110316481043871e-9
14,2,2,52,5.279791255807446e-9
14,2,2,53,5.454886367051226e-9
14,2,2,54,5.635788203455488e-9
14,2,2,55,5.822689334955773e-9
14,2,2,56,6.015788717733349e-9
14,2,2,57,6.215291906003829e-9
14,2,2,58,6.4214112708294265e-9
14,2,2,59,6.6343662261875995e-9
14,2,2,60,6.85438346253707e-9
14,2,2,61,7.08169718812937e-9
14,2,2,62,7.316549378323251e-9
14,2,2,63,7.559190033167209e-9
14,2,2,64,7.809877443524058e-9
14,2,2,65,8.068878466021181e-9
14,2,2,66,8.336468807119032e-9
14,2,2,67,8.612933316600194e-9
14,2,2,68,8.898566290791518e-9
14,2,2,69,9.193671785841999e-9
14,2,2,70,9.498563941390178e-9
14,2,2,71,9.81356731496504e-9
14,2,2,72,1.013901722747701e-8
14,2,2,73,1.0475260120166354e-8
14,2,2,74,1.0822653923389252e-8
14,2,2,75,1.1181568437633894e-8
14,2,2,76,1.1552385727172275e-8
14,2,2,77,1.1935500526766942e-8
14,2,2,78,1.2331320661865104e-8
14,2,2,79,1.2740267482728005e-8
14,2,2,80,1.3162776312957055e-8
14,2,2,81,1.359929691289509e-8
14,2,2,82,1.405029395839482e-8
14,2,2,83,1.451624753546519e-8
14,2,2,84,1.4997653651321573e-8
14,2,2,85,1.5495024762384152e-8
14,2,2,86,1.6008890319786294e-8
14,2,2,87,1.6539797332973697e-8
14,2,2,88,1.7088310951994302e-8
14,2,2,89,1.765501506909863e-8
14,2,2,90,1.8240512940291362e-8
14,2,2,91,1.8845427827495267e-8
14,2,2,92,1.9470403662011306e-8
14,2,2,93,2.0116105729981253e-8
14,2,2,94,2.0783221380582318e-8
14,2,2,95,2.147246075770777e-8
14,2,2,96,2.2184557555912393e-8
14,2,2,97,2.292026980142711e-8
14,2,2,98,2.368038065907513e-8
14,2,2,99,2.44656992659471e-8
14,2,2,100,2.5277061592724353e-8
14,2,2,101,2.611533133356552e-8
2,4,2,1,1.0e-9
2,4,2,2,1.0937499997656238e-9
2,4,2,3,1.1962890619632712e-9
2,4,2,4,1.30844116118691e-9
2,4,2,5,1.4311075196469293e-9
2,4,2,6,1.5652738491338086e-9
2,4,2,7,1.7120182719158647e-9
2,4,2,8,1.8725199842210208e-9
2,4,2,9,2.048068731919939e-9
2,4,2,10,2.2400751745543214e-9
2,4,2,11,2.4500822209927034e-9
2,4,2,12,2.679777427803829e-9
