S,N,D,bespoke_cost,free_cost,free_comp
4,10,10,33.76560816000274,36.90445563399983,0.6374199999999957
4,12,10,33.63041872000019,36.713707693333426,0.6370333333333338
4,14,10,33.63567293142899,36.679860877142936,0.6404142857142898
4,16,10,33.64185018000044,36.71528099625007,0.6416
4,18,10,33.71159865333332,36.555587713333246,0.6395222222222281
4,20,10,33.64721799600262,36.59489272199991,0.6393500000000002
4,22,10,33.672620236364686,36.63364497181818,0.6372727272727123
4,24,10,33.76585667000019,36.600191692500026,0.6372166666666674
4,26,10,33.739457261538014,36.547007133077095,0.6402999999999932
4,28,10,33.64291522285709,36.55637089785728,0.6421499999999997
4,30,10,33.74195000800001,36.54897353533324,0.6393199999999781
4,32,10,33.73373675249982,36.499953815625005,0.63843125
4,34,10,33.65983060941195,36.534931680000014,0.6395529411764422
4,36,10,33.70281796666687,36.518722789444425,0.6360944444444409
4,38,10,33.70188496421068,36.51691289263151,0.6384421052631556
4,40,10,33.66988210800099,36.54138610150019,0.6398599999999991
4,42,10,33.69985951428559,36.47468495523808,0.6389190476190559
4,44,10,33.72399403090944,36.44658044727275,0.6389636363636367
4,46,10,33.664864366956884,36.53093004347804,0.6373086956521821
4,48,10,33.7123027650001,36.526127071250045,0.6371083333333319
4,50,10,33.643579809599785,36.46692768039999,0.6374679999999658
4,12,12,31.69601688000039,35.08336977166686,0.6217999999999992
4,14,12,31.78633251428613,34.96833632285736,0.627414285714292
4,16,12,31.837294815000174,34.79709330750003,0.6294375
4,18,12,31.76725641333312,34.72116935333338,0.6315555555555603
4,20,12,31.801583928002287,34.604689779000054,0.6288599999999989
4,22,12,31.818283800001304,34.73180648818165,0.6284545454545317
4,24,12,31.763114580000135,34.730288232499916,0.6247333333333338
4,26,12,31.856133784614933,34.70626085846159,0.6256153846153746
4,28,12,31.869831874285765,34.65237529071432,0.6282428571428573
4,30,12,31.77235915200017,34.590707621333365,0.6288999999999815
4,32,12,31.754354602499667,34.57713891562503,0.630125
4,34,12,31.831264792941695,34.55325785764706,0.627911764705854
4,36,12,31.793432800000527,34.64760965333334,0.6281777777777747
4,38,12,31.78218445263164,34.61166616052636,0.6246052631578919
4,40,12,31.767289548000925,34.54268159500001,0.626705
4,42,12,31.711779514285688,34.59055524666663,0.6262952380952489
4,44,12,31.8151661290913,34.56921259818197,0.6275000000000018
4,46,12,31.820099003478912,34.547798671304285,0.6267304347826178
4,48,12,31.828721220000478,34.550504214166665,0.6263999999999998
4,50,12,31.800391080000054,34.519863057199984,0.6255319999999667
4,14,14,30.13636812,33.51008773142864,0.6128000000000058
4,16,14,30.112883924999984,33.478388436249986,0.6163125
4,18,14,30.158236999999698,33.39076667555547,0.6121666666666697
4,20,14,30.170364288002038,33.27309822099991,0.6093800000000008
4,22,14,30.197366029091935,33.26989377363628,0.6077181818181704
4,24,14,30.247203579999844,33.23091059083337,0.609775
4,26,14,30.187981735384437,33.12333707769237,0.6087923076923
4,28,14,30.085246062857156,33.1594032728573,0.6100500000000023
4,30,14,30.155254880000015,33.11924056733321,0.6064866666666487
4,32,14,30.138418327499526,33.041219998124966,0.60499375
4,34,14,30.115668698823974,32.98791734823543,0.6052352941176208
4,36,14,30.168674420000414,33.047244197222284,0.6055055555555555
4,38,14,30.13542639789491,33.06934814368429,0.6042473684210506
4,40,14,30.125334276000974,33.00718115250004,0.60506
4,42,14,30.152130754285395,33.00492996809529,0.6051809523809638
4,44,14,30.15683630727285,33.01036139772712,0.6054772727272726
4,46,14,30.100712337391766,33.025332719565164,0.6041913043478336
4,48,14,30.112759670000344,33.03311087166663,0.6052541666666668
4,50,14,30.170245003200183,32.99996588800001,0.6040439999999706
4,16,16,28.701595634999947,32.28679767375007,0.5902375
4,18,16,28.64663350666636,32.16972923111101,0.5894111111111158
4,20,16,28.672445412001853,32.10000207299992,0.5877900000000001
4,22,16,28.63446404727334,32.038954231818174,0.5840181818181717
4,24,16,28.636113249999635,32.0199683675,0.5858916666666663
4,26,16,28.712291123076728,31.985341173076858,0.5823769230769169
4,28,16,28.6904659371428,31.874567737857134,0.580207142857141
4,30,16,28.663996071999865,31.872582837999925,0.5802266666666542
4,32,16,28.648663004999793,31.818723695624946,0.57984375
4,34,16,28.618469039999926,31.797157127058764,0.5799411764705693
4,36,16,28.657733620000315,31.803794067222288,0.5799111111111117
4,38,16,28.65331275789502,31.73734639526319,0.5789789473684206
4,40,16,28.66126246200116,31.709433723000018,0.5763349999999988
4,42,16,28.65709459428545,31.764009330952465,0.5795523809523909
4,44,16,28.65398337818182,31.764121927727253,0.5782000000000009
4,46,16,28.66605330260871,31.691876183043593,0.5751391304347889
4,48,16,28.65139661500012,31.655385983333353,0.5757833333333335
4,50,16,28.687177084800265,31.662568824399962,0.5750719999999786
4,18,18,27.488245559999754,31.222048394444386,0.5687222222222261
4,20,18,27.34510380000181,31.137138912999973,0.5636599999999997
4,22,18,27.43809172363683,31.03712585181824,0.5570545454545385
4,24,18,27.4025096099997,31.009898879999913,0.5622916666666672
4,26,18,27.395341052307515,30.996380794615416,0.5553076923076876
4,28,18,27.41773972285698,30.858118365714315,0.5576357142857163
4,30,18,27.408921167999424,30.779853259333333,0.5547799999999914
4,32,18,27.395427075000246,30.776455207500025,0.54933125
4,34,18,27.379310470587637,30.696165543529368,0.5491470588235181
4,36,18,27.42297026666716,30.721443314999966,0.5510722222222227
4,38,18,27.398311098947744,30.683218097368464,0.5510052631578909
4,40,18,27.392817720001442,30.63709802700003,0.5482399999999993
4,42,18,27.369102765713883,30.612351858095284,0.5487666666666721
4,44,18,27.42318112363664,30.594084860454437,0.5483045454545464
4,46,18,27.31774609043404,30.618623039999942,0.5463391304347861
4,48,18,27.374179469999973,30.597006505416722,0.5454249999999985
4,50,18,27.358225128000246,30.553600838800037,0.5456959999999847
4,20,20,26.319552732001736,30.331114502999977,0.5389599999999989
4,22,20,26.242532705455023,30.21992227181822,0.5367272727272697
4,24,20,26.248677679999712,30.117928138333372,0.5326083333333332
4,26,20,26.289433319999876,30.018227273076906,0.5317923076923038
4,28,20,26.209768114285378,29.95488989285719,0.5292785714285706
4,30,20,26.2619978159993,29.883252838000008,0.5240933333333305
4,32,20,26.25234320250053,29.83246497437512,0.52211875
4,34,20,26.345391924704867,29.809789802941197,0.522352941176466
4,36,20,26.22349533333401,29.72266203166655,0.5203166666666676
4,38,20,26.27593530315844,29.66958590842106,0.5173157894736814
4,40,20,26.248876488001848,29.617882881000043,0.5162099999999992
