S,G,D,base_cost,act_cost,search_cost,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,asymptotic_compositionality,max_compositionality,asymptotic_cost,max_cost,bespoke_cost,comp_cost
3,9,2,100,49,1,100,0,150,99.5,49,0.0,0.0,92.72976680384086,92.72976680384086,92.72976680384086,111.34567901234567
4,9,2,100,49,1,100,0,150,99.5,49,0.0,0.0,94.52160493827158,94.52160493827158,94.52160493827158,117.3074845679012
5,9,2,100,49,1,100,0,150,99.5,49,0.0,0.0,95.60493827160491,95.60493827160491,95.60493827160491,121.2212345679012
6,9,2,100,49,1,100,0,150,99.5,49,0.0,0.0,96.33058984910835,96.33058984910835,96.33058984910835,123.97067901234566
7,9,2,100,49,1,100,0,150,99.5,49,0.0,0.0,96.85059208868732,96.85059208868732,96.85059208868732,126.00327538422773
8,9,2,100,49,1,100,0,150,99.5,49,0.0,0.0,97.241512345679,97.241512345679,97.241512345679,127.56529706790121
9,9,2,100,49,1,100,0,150,99.5,49,0.0,0.0,97.54610577655842,97.54610577655842,97.54610577655842,128.80246913580245
1,10,2,100,49,1,100,0,150,99.5,49,1.0,1.0,89.90499999999997,89.90499999999997,80.99999999999999,89.90499999999997
2,10,2,100,49,1,100,0,150,99.5,49,0.18181818181818096,0.18181818181818096,90.94305785123963,90.94305785123963,90.24999999999997,102.52999999999999
3,10,2,100,49,1,100,0,150,99.5,49,0.0,0.0,93.44444444444441,93.44444444444441,93.44444444444441,112.34944444444443
4,10,2,100,49,1,100,0,150,99.5,49,0.0,0.0,95.06249999999997,95.06249999999997,95.06249999999997,118.31124999999997
5,10,2,100,49,1,100,0,150,99.5,49,0.0,0.0,96.03999999999996,96.03999999999996,96.03999999999996,122.22499999999997
6,10,2,100,49,1,100,0,150,99.5,49,0.0,0.0,96.69444444444441,96.69444444444441,96.69444444444441,124.97444444444442
7,10,2,100,49,1,100,0,150,99.5,49,0.0,0.0,97.16326530612244,97.16326530612244,97.16326530612244,127.00704081632652
8,10,2,100,49,1,100,0,150,99.5,49,0.0,0.0,97.51562499999999,97.51562499999999,97.51562499999999,128.5690625
9,10,2,100,49,1,100,0,150,99.5,49,0.0,0.0,97.79012345679011,97.79012345679011,97.79012345679011,129.8062345679012
10,10,2,100,49,1,100,0,150,99.5,49,0.0,0.0,98.00999999999998,98.00999999999998,98.00999999999998,130.81
1,11,2,100,49,1,100,0,150,99.5,49,1.0,1.0,90.73553719008262,90.73553719008262,82.64462809917352,90.73553719008262
2,11,2,100,49,1,100,0,150,99.5,49,0.1666666666666671,0.1666666666666671,91.6931531221304,91.6931531221304,91.11570247933884,103.36053719008261
3,11,2,100,49,1,100,0,150,99.5,49,0.0,0.0,94.03122130394857,94.03122130394857,94.03122130394857,113.17998163452707
4,11,2,100,49,1,100,0,150,99.5,49,0.0,0.0,95.50619834710741,95.50619834710741,95.50619834710741,119.14178719008261
5,11,2,100,49,1,100,0,150,99.5,49,0.0,0.0,96.396694214876,96.396694214876,96.396694214876,123.05553719008262
