S,G,D,ε,β,base_cost,act_cost,search_cost,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,asymptotic_compositionality,max_compositionality,asymptotic_cost,max_cost,bespoke_cost,comp_cost
4,5,2,0.05,2.0,100,30,0,100,0,130,80.0,30,0.08683591953573946,0.08683591953573946,90.30223014159641,90.30223014159641,90.24999999999997,90.12499999999999
5,5,2,0.05,2.0,100,30,0,100,0,130,80.0,30,0.07138855947586772,0.07138855947586772,92.36949539228716,92.36949539228716,92.15999999999997,93.99999999999999
1,6,2,0.05,2.0,100,30,0,100,0,130,80.0,30,0.9620820671722611,0.9620820671722611,65.24756976184878,65.24756976184878,69.44444444444444,64.72222222222221
2,6,2,0.05,2.0,100,30,0,100,0,130,80.0,30,0.36544429111978843,0.36544429111978843,80.20292679320141,80.20292679320141,84.02777777777774,77.22222222222221
3,6,2,0.05,2.0,100,30,0,100,0,130,80.0,30,0.1143812761992316,0.1143812761992316,88.8530686334596,88.8530686334596,89.1975308641975,86.94444444444444
4,6,2,0.05,2.0,100,30,0,100,0,130,80.0,30,0.07688145134108036,0.07688145134108036,91.97010599900449,91.97010599900449,91.84027777777777,92.84722222222221
5,6,2,0.05,2.0,100,30,0,100,0,130,80.0,30,0.06358935791004212,0.06358935791004212,93.72518569817848,93.72518569817848,93.44444444444441,96.72222222222221
6,6,2,0.05,2.0,100,30,0,100,0,130,80.0,30,0.05685732394218639,0.05685732394218639,94.8720120982212,94.8720120982212,94.52160493827158,99.44444444444443
2,2,4,0.05,2.0,100,30,0,100,0,130,80.0,30,0.670210780965834,0.670210780965834,33.300194694450845,33.300194694450845,31.640624999999993,36.24999999999999
1,3,4,0.05,2.0,100,30,0,100,0,130,80.0,30,0.3456410455786368,0.3456410455786368,23.401774270074927,23.401774270074927,19.753086419753092,39.87654320987654
2,3,4,0.05,2.0,100,30,0,100,0,130,80.0,30,0.874828637789828,0.874828637789828,43.68689275624206,43.68689275624206,48.2253086419753,43.001543209876544
3,3,4,0.05,2.0,100,30,0,100,0,130,80.0,30,0.8457027714658696,0.8457027714658696,51.303001480224665,51.303001480224665,62.42950769699739,49.75308641975309
1,4,4,0.05,2.0,100,30,0,100,0,130,80.0,30,0.7904615690713356,0.7904615690713356,41.30855604280359,41.30855604280359,31.640624999999993,45.82031249999999
2,4,4,0.05,2.0,100,30,0,100,0,130,80.0,30,0.8934001885255619,0.8934001885255619,49.907720293663004,49.907720293663004,58.618164062499986,48.94531249999999
3,4,4,0.05,2.0,100,30,0,100,0,130,80.0,30,0.8083517248406319,0.8083517248406319,57.600145913113266,57.600145913113266,70.60667438271602,55.69685570987653
4,4,4,0.05,2.0,100,30,0,100,0,130,80.0,30,0.7246270094715138,0.7246270094715138,64.42561465894642,64.42561465894642,77.24761962890622,61.640624999999986
1,5,4,0.05,2.0,100,30,0,100,0,130,80.0,30,0.9042892698131983,0.9042892698131983,49.463211653195415,49.463211653195415,40.959999999999994,50.48
2,5,4,0.05,2.0,100,30,0,100,0,130,80.0,30,0.8969619442371164,0.8969619442371164,54.543200600299954,54.543200600299954,65.60999999999999,53.60499999999999
3,5,4,0.05,2.0,100,30,0,100,0,130,80.0,30,0.777180068359572,0.777180068359572,62.39612513367354,62.39612513367354,75.88345679012343,60.35654320987654
4,5,4,0.05,2.0,100,30,0,100,0,130,80.0,30,0.6542521952656655,0.6542521952656655,69.68442357666602,69.68442357666602,81.45062499999996,66.30031249999999
5,5,4,0.05,2.0,100,30,0,100,0,130,80.0,30,0.5481920161885797,0.5481920161885797,75.3413708532482,75.3413708532482,84.93465599999996,70.96
1,6,4,0.05,2.0,100,30,0,100,0,130,80.0,30,0.9336793721537748,0.9336793721537748,53.9445966224102,53.9445966224102,48.2253086419753,54.112654320987644
2,6,4,0.05,2.0,100,30,0,100,0,130,80.0,30,0.897328238821933,0.897328238821933,58.08989028044262,58.08989028044262,70.60667438271602,57.237654320987644
3,6,4,0.05,2.0,100,30,0,100,0,130,80.0,30,0.7521000539867467,0.7521000539867467,66.04522005440084,66.04522005440084,79.56199512269468,63.98919753086419
4,6,4,0.05,2.0,100,30,0,100,0,130,80.0,30,0.5968333581475151,0.5968333581475151,73.66929743181639,73.66929743181639,84.34636622299382,69.93296682098764
5,6,4,0.05,2.0,100,30,0,100,0,130,80.0,30,0.4619857567347131,0.4619857567347131,79.57143924059743,79.57143924059743,87.31864197530862,74.59265432098765
6,6,4,0.05,2.0,100,30,0,100,0,130,80.0,30,0.3569269822290737,0.3569269822290737,83.83461266077467,83.83461266077467,89.34333800106688,78.2253086419753
2,2,8,0.05,2.0,100,30,0,100,0,130,80.0,30,0.08298712406099276,0.08298712406099276,12.180997024875785,12.180997024875785,10.01129150390625,30.390625
1,3,8,0.05,2.0,100,30,0,100,0,130,80.0,30,0.04277895718771247,0.04277895718771247,6.554028515266049,6.554028515266049,3.901844231062346,31.950922115531174
2,3,8,0.05,2.0,100,30,0,100,0,130,80.0,30,0.43912394667184745,0.43912394667184745,22.489160018247432,22.489160018247432,23.256803936137793,32.14623461553117
3,3,8,0.05,2.0,100,30,0,100,0,130,80.0,30,0.8548579930503735,0.8548579930503735,33.42103922789816,33.42103922789816,38.974434312894566,33.90184423106234
1,4,8,0.05,2.0,100,30,0,100,0,130,80.0,30,0.12267622568477182,0.12267622568477182,11.862569758678918,11.862569758678918,10.01129150390625,35.005645751953125
2,4,8,0.05,2.0,100,30,0,100,0,130,80.0,30,0.7911689951037146,0.7911689951037146,32.84169303394417,32.84169303394417,34.360891580581665,35.200958251953125
3,4,8,0.05,2.0,100,30,0,100,0,130,80.0,30,0.9179855693712283,0.9179855693712283,37.9848481984463,37.9848481984463,49.853024673868894,36.956567867484296
4,4,8,0.05,2.0,100,30,0,100,0,130,80.0,30,0.9268900651662985,0.9268900651662985,41.51388477736157,41.51388477736157,59.67194738332182,40.01129150390625
