S,G,D,base_cost,act_cost,search_cost,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,gen,cost,compositionality
2,2,3,100,49,1,100,0,150,99.5,49,63,52.1660400360544,0.5952413067881555
2,2,3,100,49,1,100,0,150,99.5,49,64,52.896654340321305,0.6335348042858306
2,2,3,100,49,1,100,0,150,99.5,49,65,53.57711770862561,0.6682491203523901
2,2,3,100,49,1,100,0,150,99.5,49,66,54.20230273107585,0.699325687890318
2,2,3,100,49,1,100,0,150,99.5,49,67,54.76984507194204,0.7268585137788582
2,2,3,100,49,1,100,0,150,99.5,49,68,55.27970027325378,0.7510462052056259
2,2,3,100,49,1,100,0,150,99.5,49,69,55.73362409877805,0.7721504402267716
2,2,3,100,49,1,100,0,150,99.5,49,70,56.13465523800923,0.7904634940318801
2,2,3,100,49,1,100,0,150,99.5,49,71,56.48665298294643,0.8062848491077179
2,2,3,100,49,1,100,0,150,99.5,49,72,56.79391655308109,0.8199056004172831
2,2,3,100,49,1,100,0,150,99.5,49,73,57.060892585992676,0.8315989343509678
2,2,3,100,49,1,100,0,150,99.5,49,74,57.29196452164697,0.8416150219603713
2,2,3,100,49,1,100,0,150,99.5,49,75,57.49131123555618,0.8501789415486365
2,2,3,100,49,1,100,0,150,99.5,49,76,57.6628204029785,0.8574905690779286
2,2,3,100,49,1,100,0,150,99.5,49,77,57.81004283909626,0.863725668649392
2,2,3,100,49,1,100,0,150,99.5,49,78,57.936176063362154,0.8690376519945827
2,2,3,100,49,1,100,0,150,99.5,49,79,58.04406769881428,0.8735596535880059
2,2,3,100,49,1,100,0,150,99.5,49,80,58.136231562410416,0.8774066952179529
2,2,3,100,49,1,100,0,150,99.5,49,81,58.21487122058052,0.8806778018462637
2,2,3,100,49,1,100,0,150,99.5,49,82,58.28190731991839,0.883457989739889
2,2,3,100,49,1,100,0,150,99.5,49,83,58.33900617878456,0.8858200865872757
2,2,3,100,49,1,100,0,150,99.5,49,84,58.387607996033175,0.8878263679664373
2,2,3,100,49,1,100,0,150,99.5,49,85,58.42895365966427,0.8895300096857269
2,2,3,100,49,1,100,0,150,99.5,49,86,58.46410957784412,0.8909763643783324
2,2,3,100,49,1,100,0,150,99.5,49,87,58.493990255223515,0.8922040754966498
2,2,3,100,49,1,100,0,150,99.5,49,88,58.51937853677279,0.8932460440084613
2,2,3,100,49,1,100,0,150,99.5,49,89,58.54094356850021,0.8941302636337456
2,2,3,100,49,1,100,0,150,99.5,49,90,58.559256601101275,0.8948805400315172
2,2,3,100,49,1,100,0,150,99.5,49,91,58.57480480464862,0.8955171083747357
2,2,3,100,49,1,100,0,150,99.5,49,92,58.588003281279846,0.8960571625099004
2,2,3,100,49,1,100,0,150,99.5,49,93,58.59920546655658,0.8965153075569237
2,2,3,100,49,1,100,0,150,99.5,49,94,58.60871210440907,0.8969039464681294
2,2,3,100,49,1,100,0,150,99.5,49,95,58.61677896923655,0.8972336097929831
2,2,3,100,49,1,100,0,150,99.5,49,96,58.6236234944424,0.8975132367196369
2,2,3,100,49,1,100,0,150,99.5,49,97,58.6294304511882,0.89775041439991
2,2,3,100,49,1,100,0,150,99.5,49,98,58.63435680557542,0.8979515816141973
2,2,3,100,49,1,100,0,150,99.5,49,99,58.63853586749933,0.8981222019937097
