S,G,D,base_cost,act_cost,search_cost,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,asymptotic_compositionality,max_compositionality,asymptotic_cost,max_cost,bespoke_cost,comp_cost,asymptotic_advantage
1,100,2,100,0,0,100,0,100,50.0,0,0.9999999999999998,0.9999999999999998,49.00499999999999,49.00499999999999,98.00999999999998,49.00499999999999,0.4900499999999999
1,100,20,100,0,0,100,0,100,50.0,0,1.0,1.0,40.895346879861535,40.895346879861535,81.79069375972307,40.895346879861535,0.4089534687986153
1,100,100,100,0,0,100,0,100,50.0,0,1.0,1.0,18.301617063661457,18.301617063661457,36.603234127322914,18.301617063661457,0.18301617063661457
1,100,200,100,0,0,100,0,100,50.0,0,0.8143409329788176,0.8143409329788176,6.698983742898113,6.698983742898113,13.397967485796169,6.6989837428980845,0.06698983742898056
1,100,2,100,2,0,100,0,102,52.0,2,1.0,1.0,51.00499999999999,51.00499999999999,98.00999999999998,51.00499999999999,0.47004999999999986
1,100,20,100,2,0,100,0,102,52.0,2,1.0,1.0,42.895346879861535,42.895346879861535,81.79069375972307,42.895346879861535,0.38895346879861536
1,100,100,100,2,0,100,0,102,52.0,2,0.9999999905165426,0.9999999905165426,20.30161704469454,20.30161704469454,36.603234127322914,20.301617063661457,0.16301617082628372
1,100,200,100,2,0,100,0,102,52.0,2,0.20101086570808638,0.20101086570808638,7.101005474314279,7.101005474314279,13.397967485796169,8.698983742898085,0.0629696201148189
1,100,2,100,4,0,100,0,104,54.0,4,1.0,1.0,53.00499999999999,53.00499999999999,98.00999999999998,53.00499999999999,0.4500499999999999
1,100,20,100,4,0,100,0,104,54.0,4,1.0,1.0,44.89534687986154,44.89534687986154,81.79069375972307,44.89534687986154,0.3689534687986153
1,100,100,100,4,0,100,0,104,54.0,4,0.9999999905165426,0.9999999905165426,22.301617025727626,22.301617025727626,36.603234127322914,22.301617063661457,0.14301617101595288
1,100,200,100,4,0,100,0,104,54.0,4,0.20101086570808638,0.20101086570808638,7.5030272057304535,7.5030272057304535,13.397967485796169,10.698983742898085,0.05894940280065716
1,100,2,100,6,0,100,0,106,56.0,6,1.0,1.0,55.00499999999998,55.00499999999998,98.00999999999998,55.00499999999998,0.43004999999999993
1,100,20,100,6,0,100,0,106,56.0,6,1.0,1.0,46.895346879861535,46.895346879861535,81.79069375972307,46.895346879861535,0.34895346879861533
1,100,100,100,6,0,100,0,106,56.0,6,0.9999999905165426,0.9999999905165426,24.301617006760715,24.301617006760715,36.603234127322914,24.30161706366146,0.12301617120562199
1,100,200,100,6,0,100,0,106,56.0,6,0.20101086570808638,0.20101086570808638,7.9050489371466295,7.9050489371466295,13.397967485796169,12.698983742898085,0.0549291854864954
1,100,2,100,8,0,100,0,108,58.0,8,1.0,1.0,57.00499999999998,57.00499999999998,98.00999999999998,57.00499999999998,0.41004999999999997
1,100,20,100,8,0,100,0,108,58.0,8,1.0,1.0,48.895346879861535,48.895346879861535,81.79069375972307,48.895346879861535,0.32895346879861537
1,100,100,100,8,0,100,0,108,58.0,8,0.9999999905165426,0.9999999905165426,26.3016169877938,26.3016169877938,36.603234127322914,26.30161706366146,0.10301617139529114
1,100,200,100,8,0,100,0,108,58.0,8,0.20101086570808638,0.20101086570808638,8.307070668562805,8.307070668562805,13.397967485796169,14.698983742898085,0.050908968172333646
1,100,2,100,10,0,100,0,110,60.0,10,1.0,1.0,59.00499999999998,59.00499999999998,98.00999999999998,59.00499999999998,0.39004999999999995
1,100,20,100,10,0,100,0,110,60.0,10,1.0,1.0,50.895346879861535,50.895346879861535,81.79069375972307,50.895346879861535,0.30895346879861535
1,100,100,100,10,0,100,0,110,60.0,10,0.9999999905165426,0.9999999905165426,28.301616968826885,28.301616968826885,36.603234127322914,28.30161706366146,0.08301617158496029
1,100,200,100,10,0,100,0,110,60.0,10,0.20101086570808638,0.20101086570808638,8.709092399978978,8.709092399978978,13.397967485796169,16.698983742898086,0.04688875085817191
1,100,2,100,12,0,100,0,112,62.0,12,1.0,1.0,61.00499999999998,61.00499999999998,98.00999999999998,61.00499999999998,0.37004999999999993
1,100,20,100,12,0,100,0,112,62.0,12,1.0,1.0,52.89534687986154,52.89534687986154,81.79069375972307,52.89534687986154,0.2889534687986153
1,100,100,100,12,0,100,0,112,62.0,12,0.9999999905165426,0.9999999905165426,30.30161694985997,30.30161694985997,36.603234127322914,30.301617063661457,0.06301617177462944
1,100,200,100,12,0,100,0,112,62.0,12,0.20101086570808638,0.20101086570808638,9.111114131395153,9.111114131395153,13.397967485796169,18.698983742898086,0.04286853354401016
1,100,2,100,14,0,100,0,114,64.0,14,1.0,1.0,63.00499999999998,63.00499999999998,98.00999999999998,63.00499999999998,0.35005
1,100,20,100,14,0,100,0,114,64.0,14,1.0,1.0,54.895346879861535,54.895346879861535,81.79069375972307,54.895346879861535,0.26895346879861537
1,100,100,100,14,0,100,0,114,64.0,14,0.9999999905165426,0.9999999905165426,32.301616930893054,32.301616930893054,36.603234127322914,32.30161706366145,0.04301617196429859
1,100,200,100,14,0,100,0,114,64.0,14,0.20101086570808638,0.20101086570808638,9.513135862811328,9.513135862811328,13.397967485796169,20.698983742898086,0.038848316229848405
1,100,2,100,16,0,100,0,116,66.0,16,1.0,1.0,65.00499999999998,65.00499999999998,98.00999999999998,65.00499999999998,0.33004999999999995
