S,G,D,base_cost,act_cost,search_cost,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,asymptotic_compositionality,max_compositionality,asymptotic_cost,max_cost,bespoke_cost,comp_cost
9,2,20,100,30,0,100,0,130,80.0,30,0.7974336683438015,0.7974336683438015,30.02243893049085,30.02243893049085,31.880735010388182,34.74158917656867
10,2,20,100,30,0,100,0,130,80.0,30,0.9995031703746025,0.9995031703746025,36.067332548562135,36.067332548562135,35.848592240854195,36.078880413244285
11,2,20,100,30,0,100,0,130,80.0,30,0.9999984406232909,0.9999984406232909,37.432193894552846,37.432193894552846,39.43957971208016,37.432229084922994
12,2,20,100,30,0,100,0,130,80.0,30,0.999998995872709,0.999998995872709,38.77404893432549,38.77404893432549,42.6905633769153,38.77407104795719
13,2,20,100,30,0,100,0,130,80.0,30,0.9999991663428811,0.9999991663428811,40.086236732358465,40.086236732358465,45.63869462012927,40.08625473430391
14,2,20,100,30,0,100,0,130,80.0,30,0.9999992418043699,0.9999992418043699,41.35736396901298,41.35736396901298,48.318634928258234,41.35738009030108
1,3,20,100,30,0,100,0,130,80.0,30,0.0,0.0,0.030072865982166963,0.030072865982166963,0.030072865982166963,30.01503643299108
2,3,20,100,30,0,100,0,130,80.0,30,0.0,0.0,2.608405330458885,2.608405330458885,2.608405330458885,30.015084116706905
3,3,20,100,30,0,100,0,130,80.0,30,0.05173306429332766,0.05173306429332766,8.861360520452894,8.861360520452894,9.483082985705693,30.030072865982167
4,3,20,100,30,0,100,0,130,80.0,30,0.27610006601766995,0.27610006601766995,13.24837285948742,13.24837285948742,17.548046728482745,30.17359702993778
5,3,20,100,30,0,100,0,130,80.0,30,0.520680636937839,0.520680636937839,18.803618558251088,18.803618558251088,25.16144232366705,30.591497185294507
6,3,20,100,30,0,100,0,130,80.0,30,0.7964067121101694,0.7964067121101694,26.197195643111716,26.197195643111716,31.880735010388182,31.319239098220528
7,3,20,100,30,0,100,0,130,80.0,30,0.9997102662997532,0.9997102662997532,32.29890548058577,32.29890548058577,37.68894828730003,32.30608455689453
8,3,20,100,30,0,100,0,130,80.0,30,0.999874951675452,0.999874951675452,33.47256370853789,33.47256370853789,42.6905633769153,33.475474371687596
9,3,20,100,30,0,100,0,130,80.0,30,0.9998898613118254,0.9998898613118254,34.75415894736816,34.75415894736816,47.010154253936335,34.756577925843935
10,3,20,100,30,0,100,0,130,80.0,30,0.9998901755619105,0.9998901755619105,36.09157841864676,36.09157841864676,50.761548692356264,36.093869162519546
11,3,20,100,30,0,100,0,130,80.0,30,0.9998863781192391,0.9998863781192391,37.4449507425228,37.4449507425228,54.040675480499125,37.44721783419826
12,3,20,100,30,0,100,0,130,80.0,30,0.9998811006926991,0.9998811006926991,38.78677381694839,38.78677381694839,56.92602663480327,38.78905979723246
13,3,20,100,30,0,100,0,130,80.0,30,0.9998753013906561,0.9998753013906561,40.0989174190764,40.0989174190764,59.48120961726288,40.101243483579175
