S,D,act_cost,search_cost,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,asymptotic_compositionality,max_compositionality,asymptotic_cost,max_cost,bespoke_cost,comp_cost
6,2,7,4,10,0,11,9.0,7,0.0,0.0,9.452160493827154,9.452160493827154,9.452160493827154,9.777777777777775
7,2,7,4,10,0,11,9.0,7,0.0,0.0,9.596001665972507,9.596001665972507,9.596001665972507,9.93877551020408
8,2,7,4,10,0,11,9.0,7,0.0,0.0,9.689941406249996,9.689941406249996,9.689941406249996,10.062499999999996
9,2,7,4,10,0,11,9.0,7,0.0,0.0,9.75461057765584,9.75461057765584,9.75461057765584,10.16049382716049
10,2,7,4,10,0,11,9.0,7,0.0,0.0,9.800999999999995,9.800999999999995,9.800999999999995,10.239999999999995
11,2,7,4,10,0,11,9.0,7,0.0,0.0,9.835393757257014,9.835393757257014,9.835393757257014,10.305785123966938
12,2,7,4,10,0,11,9.0,7,0.0,0.0,9.861593364197528,9.861593364197528,9.861593364197528,10.361111111111105
13,2,7,4,10,0,11,9.0,7,0.0,0.0,9.882006932530368,9.882006932530368,9.882006932530368,10.408284023668637
14,2,7,4,10,0,11,9.0,7,0.0,0.0,9.89821949187838,9.89821949187838,9.89821949187838,10.44897959183673
15,2,7,4,10,0,11,9.0,7,0.0,0.0,9.911308641975303,9.911308641975303,9.911308641975303,10.48444444444444
16,2,7,4,10,0,11,9.0,7,0.0,0.0,9.922027587890621,9.922027587890621,9.922027587890621,10.515624999999996
17,2,7,4,10,0,11,9.0,7,0.0,0.0,9.930915578118073,9.930915578118073,9.930915578118073,10.543252595155707
18,2,7,4,10,0,11,9.0,7,0.0,0.0,9.93836686480719,9.93836686480719,9.93836686480719,10.567901234567897
19,2,7,4,10,0,11,9.0,7,0.0,0.0,9.944675071554082,9.944675071554082,9.944675071554082,10.59002770083102
20,2,7,4,10,0,11,9.0,7,0.0,0.0,9.950062499999996,9.950062499999996,9.950062499999996,10.609999999999994
6,4,7,4,10,0,11,9.0,7,0.30144197596644245,0.30144197596644245,8.845900243524298,8.845900243524298,8.934333800106685,8.92901234567901
7,4,7,4,10,0,11,9.0,7,0.0,0.0,9.208324797334717,9.208324797334717,9.208324797334717,9.159100374843812
8,4,7,4,10,0,11,9.0,7,0.0,0.0,9.38949644565582,9.38949644565582,9.38949644565582,9.344726562499995
9,4,7,4,10,0,11,9.0,7,0.0,0.0,9.515242752171524,9.515242752171524,9.515242752171524,9.497180307879892
10,4,7,4,10,0,11,9.0,7,0.0,0.0,9.605960099999995,9.605960099999995,9.605960099999995,9.624399999999996
11,4,7,4,10,0,11,9.0,7,0.0,0.0,9.673497036029028,9.673497036029028,9.673497036029028,9.73205382146028
12,4,7,4,10,0,11,9.0,7,0.0,0.0,9.725102368078474,9.725102368078474,9.725102368078474,9.824266975308637
13,4,7,4,10,0,11,9.0,7,0.0,0.0,9.765406101457831,9.765406101457831,9.765406101457831,9.904099996498719
14,4,7,4,10,0,11,9.0,7,0.0,0.0,9.797474910940116,9.797474910940116,9.797474910940116,9.973865056226568
15,4,7,4,10,0,11,9.0,7,0.0,0.0,9.823403899649438,9.823403899649438,9.823403899649438,10.035338271604935
16,4,7,4,10,0,11,9.0,7,0.0,0.0,9.844663145486262,9.844663145486262,9.844663145486262,10.089904785156246
17,4,7,4,10,0,11,9.0,7,0.0,0.0,9.862308421970825,9.862308421970825,9.862308421970825,10.138659738269414
18,4,7,4,10,0,11,9.0,7,0.0,0.0,9.877113593949753,9.877113593949753,9.877113593949753,10.182479804907784
19,4,7,4,10,0,11,9.0,7,0.0,0.0,9.889656227878923,9.889656227878923,9.889656227878923,10.222074723183521
20,4,7,4,10,0,11,9.0,7,0.0,0.0,9.900374375390623,9.900374375390623,9.900374375390623,10.258024999999995
6,8,7,4,10,0,11,9.0,7,0.9071354379459582,0.9071354379459582,7.836322749477525,7.836322749477525,7.982232045172884,7.930272157445511
7,8,7,4,10,0,11,9.0,7,0.8506730992343057,0.8506730992343057,8.085764975778277,8.085764975778277,8.47932455732095,8.165428607162676
8,8,7,4,10,0,11,9.0,7,0.7811857590749922,0.7811857590749922,8.324628076080915,8.324628076080915,8.816264350298331,8.374435663223267
9,8,7,4,10,0,11,9.0,7,0.6996000328789401,0.6996000328789401,8.551154222638765,8.551154222638765,9.053984463275278,8.558977372515782
10,8,7,4,10,0,11,9.0,7,0.606782070998628,0.606782070998628,8.764845395486564,8.764845395486564,9.227446944279198,8.721868839999999
11,8,7,4,10,0,11,9.0,7,0.503513170909129,0.503513170909129,8.965794018506807,8.965794018506807,9.357654490606247,8.866029520838932
12,8,7,4,10,0,11,9.0,7,0.39048871532821877,0.39048871532821877,9.154366787376743,9.154366787376743,9.457761606960561,8.994120986954755
13,8,7,4,10,0,11,9.0,7,0.2683253932236054,0.2683253932236054,9.331049761102637,9.331049761102637,9.53631563263899,9.108449197415968
14,8,7,4,10,0,11,9.0,7,0.1375706188131134,0.1375706188131134,9.496370522050563,9.496370522050563,9.599051463050108,9.210968343161365
15,8,7,4,10,0,11,9.0,7,0.0,0.0,9.649926417564785,9.649926417564785,9.649926417564785,9.30331960576741
