S,D,ε,β,act_cost,search_cost,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,asymptotic_compositionality,max_compositionality,asymptotic_cost,max_cost,bespoke_cost,comp_cost
4,2,0.05,2.0,0,0,10,0,0,0.0,0,0.9734233181162821,0.9734233181162821,0.24917018797274287,0.24917018797274287,8.789062499999996,0.0
4,4,0.05,2.0,0,0,10,0,0,0.0,0,0.9716413510734665,0.9716413510734665,0.24823231050446315,0.24823231050446315,7.724761962890621,0.0
4,8,0.05,2.0,0,0,10,0,0,0.0,0,0.9672857347161914,0.9672857347161914,0.245939880653737,0.245939880653737,5.967194738332181,0.0
4,16,0.05,2.0,0,0,10,0,0,0.0,0,0.9532936467913649,0.9532936467913649,0.2385756232440422,0.2385756232440422,3.5607413045179275,0.0
4,32,0.05,2.0,0,0,10,0,0,0.0,0,0.8548435408362666,0.8548435408362666,0.18675977373250066,0.18675977373250066,1.2678878637700028,0.0
4,64,0.05,2.0,0,0,10,0,0,0.0,0,0.5903043593424148,0.5903043593424148,0.04752861409876921,0.04752861409876921,0.16075396350952673,0.0
4,2,0.05,2.0,1,0,10,0,1,1.0,1,0.9720825132281328,0.9720825132281328,1.2212109970660598,1.2212109970660598,8.789062499999996,0.9999999999999996
4,4,0.05,2.0,1,0,10,0,1,1.0,1,0.9684115663019889,0.9684115663019889,1.216443271705114,1.216443271705114,7.724761962890621,0.9999999999999996
4,8,0.05,2.0,1,0,10,0,1,1.0,1,0.9573020352020088,0.9573020352020088,1.2020145168799286,1.2020145168799286,5.967194738332181,1.0
4,16,0.05,2.0,1,0,10,0,1,1.0,1,0.8801753473270765,0.8801753473270765,1.1018444863168968,1.1018444863168968,3.5607413045179275,0.9999999999999999
4,32,0.05,2.0,1,0,10,0,1,1.0,1,0.36927055623128924,0.36927055623128924,0.43829533168636237,0.43829533168636237,1.2678878637700028,0.9999999999999997
4,64,0.05,2.0,1,0,10,0,1,1.0,1,0.16537761182491825,0.16537761182491825,0.17348475786926848,0.17348475786926848,0.16075396350952673,0.9999999999999999
4,2,0.05,2.0,2,0,10,0,2,2.0,2,0.9717029787194742,0.9717029787194742,2.1925235227843345,2.1925235227843345,8.789062499999996,1.9999999999999991
4,4,0.05,2.0,2,0,10,0,2,2.0,2,0.9674258503102222,0.9674258503102222,2.1828230854728736,2.1828230854728736,7.724761962890621,1.9999999999999991
4,8,0.05,2.0,2,0,10,0,2,2.0,2,0.9535534464595143,0.9535534464595143,2.1513607651876128,2.1513607651876128,5.967194738332181,2.0
4,16,0.05,2.0,2,0,10,0,2,2.0,2,0.8224875385551823,0.8224875385551823,1.8541060415404143,1.8541060415404143,3.5607413045179275,1.9999999999999998
4,32,0.05,2.0,2,0,10,0,2,2.0,2,0.23771923960807081,0.23771923960807081,0.5278638334748007,0.5278638334748007,1.2678878637700028,1.9999999999999993
4,64,0.05,2.0,2,0,10,0,2,2.0,2,0.06157977661534226,0.06157977661534226,0.12838323449640807,0.12838323449640807,0.16075396350952673,1.9999999999999998
4,2,0.05,2.0,3,0,10,0,3,3.0,3,0.9716431384177484,0.9716431384177484,3.164051920134423,3.164051920134423,8.789062499999996,2.999999999999999
4,4,0.05,2.0,3,0,10,0,3,3.0,3,0.9672684602815927,0.9672684602815927,3.1497737635920204,3.1497737635920204,7.724761962890621,2.999999999999999
4,8,0.05,2.0,3,0,10,0,3,3.0,3,0.952919847217789,0.952919847217789,3.1029424911840824,3.1029424911840824,5.967194738332181,2.9999999999999996
4,16,0.05,2.0,3,0,10,0,3,3.0,3,0.8106087325902073,0.8106087325902073,2.6384648063955902,2.6384648063955902,3.5607413045179275,2.999999999999999
4,32,0.05,2.0,3,0,10,0,3,3.0,3,0.218008843500893,0.218008843500893,0.7043261749160215,0.7043261749160215,1.2678878637700028,2.999999999999999
4,64,0.05,2.0,3,0,10,0,3,3.0,3,0.04587055938075856,0.04587055938075856,0.14249801496647027,0.14249801496647027,0.16075396350952673,2.9999999999999996
4,2,0.05,2.0,4,0,10,0,4,4.0,4,0.9716292759631744,0.9716292759631744,4.135689467603291,4.135689467603291,8.789062499999996,3.9999999999999982
4,4,0.05,2.0,4,0,10,0,4,4.0,4,0.9672402292310396,0.9672402292310396,4.11697760404914,4.11697760404914,7.724761962890621,3.9999999999999982
4,8,0.05,2.0,4,0,10,0,4,4.0,4,0.95282218539896,0.95282218539896,4.055509024339486,4.055509024339486,5.967194738332181,4.0
4,16,0.05,2.0,4,0,10,0,4,4.0,4,0.808881319335502,0.808881319335502,3.4418445978649093,3.4418445978649093,3.5607413045179275,3.9999999999999996
4,32,0.05,2.0,4,0,10,0,4,4.0,4,0.21530097244945084,0.21530097244945084,0.9112280113437268,0.9112280113437268,1.2678878637700028,3.9999999999999987
4,64,0.05,2.0,4,0,10,0,4,4.0,4,0.043709915648204256,0.043709915648204256,0.1796822707916199,0.1796822707916199,0.16075396350952673,3.9999999999999996
4,2,0.05,2.0,5,0,10,0,5,5.0,5,0.9715860132252596,0.9715860132252596,5.1074726667875225,5.1074726667875225,8.789062499999996,4.999999999999998
