pop,gen,cost,compositionality,agent
3,26,21.037919999999986,0.0,rational
3,27,18.055799999999987,0.0,rational
3,28,25.254711999999994,0.02,rational
3,29,20.441495999999983,0.0,rational
3,30,25.851135999999997,0.02,rational
3,31,21.300605999999988,0.02,rational
4,1,47.876999999999974,0.0,rational
4,2,22.869016,0.02,rational
4,3,27.00215999999999,0.0,rational
4,4,24.616463999999997,0.0,rational
4,5,19.24864799999998,0.0,rational
4,6,26.447560000000003,0.02,rational
4,7,19.845071999999984,0.0,rational
4,8,19.886895999999986,0.02,rational
4,9,20.441495999999983,0.0,rational
4,10,24.70011199999999,0.04,rational
4,11,24.616464,0.0,rational
4,12,22.230767999999994,0.0,rational
4,13,21.63434399999999,0.0,rational
4,14,24.02003999999999,0.0,rational
4,15,21.03791999999999,0.0,rational
4,16,20.441495999999983,0.0,rational
4,17,21.037919999999986,0.0,rational
4,18,21.634343999999984,0.0,rational
4,19,25.212887999999992,0.0,rational
4,20,26.405735999999997,0.0,rational
4,21,23.423615999999996,0.0,rational
4,22,22.230767999999994,0.0,rational
4,23,21.037919999999986,0.0,rational
4,24,21.63434399999999,0.0,rational
4,25,24.616463999999997,0.0,rational
4,26,23.423615999999992,0.0,rational
4,27,21.037919999999986,0.0,rational
4,28,20.441495999999983,0.0,rational
4,29,19.248647999999985,0.0,rational
4,30,19.248647999999985,0.0,rational
4,31,19.845071999999984,0.0,rational
5,1,47.876999999999974,0.0,rational
5,2,21.037919999999986,0.0,rational
5,3,19.84507199999998,0.0,rational
5,4,19.84507199999998,0.0,rational
5,5,21.63434399999999,0.0,rational
5,6,20.483319999999985,0.02,rational
5,7,19.845071999999984,0.0,rational
5,8,22.23076799999999,0.0,rational
5,9,20.441495999999983,0.0,rational
5,10,22.272591999999985,0.02,rational
5,11,20.483319999999985,0.02,rational
5,12,22.82719199999999,0.0,rational
5,13,21.037919999999986,0.0,rational
5,14,21.717991999999985,0.04,rational
5,15,20.441495999999983,0.0,rational
5,16,21.676167999999993,0.02,rational
5,17,20.642545999999985,0.02,rational
5,18,21.634343999999988,0.0,rational
5,19,23.423615999999996,0.0,rational
5,20,21.63434399999999,0.0,rational
5,21,28.833256000000006,0.02,rational
5,22,22.15971599999999,0.04,rational
5,23,22.827191999999997,0.0,rational
5,24,20.441495999999983,0.0,rational
5,25,26.405735999999997,0.0,rational
5,26,20.441495999999983,0.0,rational
5,27,24.02003999999999,0.0,rational
5,28,22.272591999999985,0.02,rational
5,29,24.616463999999986,0.0,rational
5,30,22.272591999999996,0.02,rational
5,31,21.037919999999986,0.0,rational
6,1,47.876999999999974,0.0,rational
6,2,24.658288000000002,0.02,rational
6,3,21.563291999999993,0.04,rational
6,4,22.422401999999998,0.06,rational
6,5,21.158501999999988,0.1,rational
6,6,20.633129999999987,0.06,rational
6,7,23.018825999999994,0.06,rational
6,8,24.211674000000002,0.06,rational
6,9,23.68630199999999,0.02,rational
6,10,24.282725999999997,0.02,rational
6,11,21.63434399999999,0.0,rational
6,12,18.652223999999986,0.0,rational
