S,D,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,asymptotic_compositionality,max_compositionality,asymptotic_cost,max_cost,bespoke_cost,comp_cost
5,3,10,0,10.001,1,1,1.0702047449742624e-8,1.0702047449742624e-8,8.847359916024864,8.847359916024864,8.847359999999998,3.3595581440000024
10,3,10,0,10.001,1,1,1.1329056990241086e-10,1.1329056990241086e-10,9.702989999478595,9.702989999478595,9.702989999999996,5.783500441000003
5,9,10,0,10.001,1,1,0.9675611917975832,0.9675611917975832,1.1757738439358505,1.1757738439358505,6.925339958244799,1.1621476009838478
10,9,10,0,10.001,1,1,0.7121229464232987,0.7121229464232987,3.3347676153952692,3.3347676153952692,9.135172474836406,2.35100181230829
5,27,10,0,10.001,1,1,0.849804378508195,0.849804378508195,0.8502173833439298,0.8502173833439298,3.321416142563493,1.0000526199049504
10,27,10,0,10.001,1,1,0.9952347717907761,0.9952347717907761,1.0300289048535618,1.0300289048535618,7.623427143471034,1.0304359086136181
5,81,10,0,10.001,1,1,0.009452373989610543,0.009452373989610543,0.2932160626359089,0.2932160626359089,0.3664121584659474,1.0000000000000018
10,81,10,0,10.001,1,1,0.999999796250919,0.999999796250919,1.0000001833743069,1.0000001833743069,4.430479816261724,1.000000347998435
5,243,10,0,10.001,1,1,5.022514815666493e-11,5.022514815666493e-11,0.0004919376571566173,0.0004919376571566173,0.000491937158907385,0.9999999999999996
10,243,10,0,10.001,1,1,0.11471025977486109,0.11471025977486109,0.11989854431978939,0.11989854431978939,0.869665590982469,0.9999999999999996
5,3,10,0,10.001,2,1,1.0702047449742624e-8,1.0702047449742624e-8,8.84735992549335,8.84735992549335,8.847359999999998,3.859270144000002
10,3,10,0,10.001,2,1,1.1329056990241086e-10,1.1329056990241086e-10,9.702989999538554,9.702989999538554,9.702989999999996,6.178618441000003
5,9,10,0,10.001,2,1,0.9675611917975832,0.9675611917975832,1.4186536489845833,1.4186536489845833,6.925339958244799,1.3945542599648841
10,9,10,0,10.001,2,1,0.7121229464232987,0.7121229464232987,3.810571392271275,3.810571392271275,9.135172474836406,2.825653519714292
5,27,10,0,10.001,2,1,0.849804378508195,0.849804378508195,0.8608872987818268,0.8608872987818268,3.321416142563493,1.0048766311703103
10,27,10,0,10.001,2,1,0.9952347717907761,0.9952347717907761,1.140875181211959,1.140875181211959,7.623427143471034,1.1399725987926528
5,81,10,0,10.001,2,1,0.009452373989610543,0.009452373989610543,0.3009599716660635,0.3009599716660635,0.3664121584659474,1.0000000282695545
10,81,10,0,10.001,2,1,0.999999796250919,0.999999796250919,1.000393360799575,1.000393360799575,4.430479816261724,1.000393524774992
5,243,10,0,10.001,2,1,5.022514815666493e-11,5.022514815666493e-11,0.0004919376573567492,0.0004919376573567492,0.000491937158907385,0.9999999999999996
10,243,10,0,10.001,2,1,0.11471025977486109,0.11471025977486109,0.13247778550810566,0.13247778550810566,0.869665590982469,1.0000000000152036
5,3,10,0,10.001,3,1,1.0702047449742624e-8,1.0702047449742624e-8,8.847359934961837,8.847359934961837,8.847359999999998,4.358982144000002
10,3,10,0,10.001,3,1,1.1329056990241086e-10,1.1329056990241086e-10,9.702989999598515,9.702989999598515,9.702989999999996,6.573736441000002
5,9,10,0,10.001,3,1,0.9675611917975832,0.9675611917975832,1.661533454033316,1.661533454033316,6.925339958244799,1.6269609189459202
