pop,gen,cost,compositionality,agent
3,26,23.788893749999993,0.0,rational
3,27,24.80802499999999,0.0,rational
3,28,25.827156249999994,0.0,rational
3,29,21.75063124999999,0.0,rational
3,30,24.80802499999999,0.0,rational
3,31,24.808024999999994,0.0,rational
4,1,53.34369999999996,0.0,rational
4,2,31.941943749999997,0.0,rational
4,3,29.90368124999999,0.0,rational
4,4,23.788893749999996,0.0,rational
4,5,20.731499999999993,0.0,rational
4,6,23.819928124999993,0.03125,rational
4,7,31.941943749999993,0.0,rational
4,8,23.81992812499999,0.03125,rational
4,9,25.827156249999994,0.0,rational
4,10,28.884549999999994,0.0,rational
4,11,27.86541874999999,0.0,rational
4,12,25.827156249999994,0.0,rational
4,13,26.846287499999995,0.0,rational
4,14,20.731499999999993,0.0,rational
4,15,25.827156249999994,0.0,rational
4,16,23.78889374999999,0.0,rational
4,17,23.788893749999993,0.0,rational
4,18,24.80802499999999,0.0,rational
4,19,23.78889374999999,0.0,rational
4,20,28.884549999999994,0.0,rational
4,21,25.82715624999999,0.0,rational
4,22,21.750631249999994,0.0,rational
4,23,22.76976249999999,0.0,rational
4,24,24.808024999999994,0.0,rational
4,25,30.953846874999996,0.03125,rational
4,26,28.88454999999999,0.0,rational
4,27,25.827156249999994,0.0,rational
4,28,24.80802499999999,0.0,rational
4,29,25.827156249999994,0.0,rational
4,30,27.865418749999996,0.0,rational
4,31,26.846287499999992,0.0,rational
5,1,53.34369999999996,0.0,rational
5,2,26.846287499999995,0.0,rational
5,3,20.731499999999993,0.0,rational
5,4,20.731499999999993,0.0,rational
5,5,28.884549999999994,0.0,rational
5,6,24.83905937499999,0.03125,rational
5,7,24.22098124999999,0.03125,rational
5,8,20.731499999999993,0.0,rational
5,9,23.78889374999999,0.0,rational
5,10,22.769762499999995,0.0,rational
5,11,28.884549999999994,0.0,rational
5,12,23.788893749999993,0.0,rational
5,13,25.827156249999994,0.0,rational
5,14,25.82715624999999,0.0,rational
5,15,26.846287499999992,0.0,rational
5,16,27.896453124999994,0.03125,rational
5,17,22.769762499999988,0.0,rational
5,18,24.80802499999999,0.0,rational
5,19,28.884549999999994,0.0,rational
5,20,25.85819062499999,0.03125,rational
5,21,23.788893749999993,0.0,rational
5,22,24.808024999999994,0.0,rational
5,23,24.808024999999994,0.0,rational
5,24,21.750631249999994,0.0,rational
5,25,23.788893749999996,0.0,rational
5,26,24.80802499999999,0.0,rational
5,27,25.827156249999994,0.0,rational
5,28,24.808024999999994,0.0,rational
5,29,28.884549999999994,0.0,rational
5,30,21.75063124999999,0.0,rational
5,31,24.808024999999994,0.0,rational
6,1,53.34369999999996,0.0,rational
6,2,20.731499999999993,0.0,rational
6,3,26.846287499999992,0.0,rational
6,4,25.82715624999999,0.0,rational
6,5,21.750631249999994,0.0,rational
6,6,23.788893749999993,0.0,rational
6,7,25.82715624999999,0.0,rational
6,8,23.788893749999993,0.0,rational
6,9,22.76976249999999,0.0,rational
6,10,24.808024999999994,0.0,rational
6,11,25.827156249999994,0.0,rational
6,12,20.731499999999993,0.0,rational
6,13,23.788893749999993,0.0,rational
6,14,25.82715624999999,0.0,rational
6,15,22.76976249999999,0.0,rational
6,16,22.769762499999995,0.0,rational
6,17,22.76976249999999,0.0,rational
6,18,26.877321874999993,0.03125,rational
6,19,23.788893749999993,0.0,rational
6,20,22.76976249999999,0.0,rational
6,21,32.961074999999994,0.0,rational
6,22,28.884549999999994,0.0,rational
6,23,22.769762499999995,0.0,rational
6,24,34.999337499999996,0.0,rational
6,25,26.846287499999995,0.0,rational
6,26,30.953846874999996,0.03125,rational
