S,D,act_cost,search_cost,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,asymptotic_compositionality,max_compositionality,asymptotic_cost,max_cost,bespoke_cost,comp_cost
5,3,1,2,10,0,3,2.0,1,0.9999999999999999,0.9999999999999999,2.024,2.024,8.847359999999998,2.0240000000000005
5,9,1,2,10,0,3,2.0,1,0.9999999999999996,0.9999999999999996,1.2684354559999997,1.2684354559999997,6.925339958244799,1.2684354560000002
5,27,1,2,10,0,3,2.0,1,0.8503452591949329,0.8503452591949329,0.8610673275130211,0.8610673275130211,3.321416142563493,1.0048357032784585
5,81,1,2,10,0,3,2.0,1,0.04225185988709033,0.04225185988709033,0.0835948525924108,0.0835948525924108,0.3664121584659474,1.0000000282695531
5,243,1,2,10,0,3,2.0,1,4.921823690805006e-5,4.921823690805006e-5,0.00014740974375816255,0.00014740974375816255,0.000491937158907385,0.9999999999999996
5,3,2,2,10,0,4,3.0,2,0.9999999999999999,0.9999999999999999,3.024,3.024,8.847359999999998,3.024
5,9,2,2,10,0,4,3.0,2,0.9999999999999996,0.9999999999999996,2.2684354559999997,2.2684354559999997,6.925339958244799,2.268435456
5,27,2,2,10,0,4,3.0,2,0.8503452591949329,0.8503452591949329,1.711412586707954,1.711412586707954,3.321416142563493,2.0048357032784585
5,81,2,2,10,0,4,3.0,2,0.04225185988709033,0.04225185988709033,0.12584671247950108,0.12584671247950108,0.3664121584659474,2.0000000282695534
5,243,2,2,10,0,4,3.0,2,4.921823690805006e-5,4.921823690805006e-5,0.00019662798066621262,0.00019662798066621262,0.000491937158907385,1.9999999999999991
5,3,3,2,10,0,5,4.0,3,0.9999999999999999,0.9999999999999999,4.024,4.024,8.847359999999998,4.024
5,9,3,2,10,0,5,4.0,3,0.9999999999999996,0.9999999999999996,3.268435455999999,3.268435455999999,6.925339958244799,3.268435456
5,27,3,2,10,0,5,4.0,3,0.8503452591949329,0.8503452591949329,2.561757845902887,2.561757845902887,3.321416142563493,3.0048357032784585
5,81,3,2,10,0,5,4.0,3,0.04225185988709033,0.04225185988709033,0.16809857236659134,0.16809857236659134,0.3664121584659474,3.0000000282695534
5,243,3,2,10,0,5,4.0,3,4.921823690805006e-5,4.921823690805006e-5,0.0002458462175742627,0.0002458462175742627,0.000491937158907385,2.9999999999999987
5,3,4,2,10,0,6,5.0,4,0.9999999999999999,0.9999999999999999,5.023999999999999,5.023999999999999,8.847359999999998,5.024
5,9,4,2,10,0,6,5.0,4,0.9999999999999996,0.9999999999999996,4.268435455999999,4.268435455999999,6.925339958244799,4.268435456000001
5,27,4,2,10,0,6,5.0,4,0.8503452591949329,0.8503452591949329,3.41210310509782,3.41210310509782,3.321416142563493,4.0048357032784585
5,81,4,2,10,0,6,5.0,4,0.04225185988709033,0.04225185988709033,0.21035043225368166,0.21035043225368166,0.3664121584659474,4.000000028269553
5,243,4,2,10,0,6,5.0,4,4.921823690805006e-5,4.921823690805006e-5,0.0002950644544823127,0.0002950644544823127,0.000491937158907385,3.9999999999999982
5,3,5,2,10,0,7,6.0,5,0.9999999999999999,0.9999999999999999,6.023999999999999,6.023999999999999,8.847359999999998,6.024000000000001
5,9,5,2,10,0,7,6.0,5,0.9999999999999996,0.9999999999999996,5.268435455999998,5.268435455999998,6.925339958244799,5.268435456000001
5,27,5,2,10,0,7,6.0,5,0.8503452591949329,0.8503452591949329,4.262448364292752,4.262448364292752,3.321416142563493,5.0048357032784585
5,81,5,2,10,0,7,6.0,5,0.04225185988709033,0.04225185988709033,0.2526022921407719,0.2526022921407719,0.3664121584659474,5.000000028269553
5,243,5,2,10,0,7,6.0,5,4.921823690805006e-5,4.921823690805006e-5,0.0003442826913903628,0.0003442826913903628,0.000491937158907385,4.999999999999998
5,3,6,2,10,0,8,7.0,6,0.9999999999999999,0.9999999999999999,7.023999999999999,7.023999999999999,8.847359999999998,7.024000000000001
5,9,6,2,10,0,8,7.0,6,0.9999999999999996,0.9999999999999996,6.268435455999998,6.268435455999998,6.925339958244799,6.268435456000001
5,27,6,2,10,0,8,7.0,6,0.8503452591949329,0.8503452591949329,5.112793623487686,5.112793623487686,3.321416142563493,6.0048357032784585
5,81,6,2,10,0,8,7.0,6,0.04225185988709033,0.04225185988709033,0.2948541520278622,0.2948541520278622,0.3664121584659474,6.000000028269553
5,243,6,2,10,0,8,7.0,6,4.921823690805006e-5,4.921823690805006e-5,0.0003935009282984128,0.0003935009282984128,0.000491937158907385,5.999999999999997
5,3,7,2,10,0,9,8.0,7,0.9999999999999999,0.9999999999999999,8.024,8.024,8.847359999999998,8.024000000000001
