S,D,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,asymptotic_compositionality,asymptotic_cost,comp_cost,bespoke_cost
16,64,10,0,100,9,1,0.9996544294756916,1.2556614561915291,1.2556614561915291,7.784196093554426
17,64,10,0,100,9,1,0.9994498066807082,1.3279859615984992,1.3279859615984992,8.010456754585704
18,64,10,0,100,9,1,0.9991665693153475,1.4088651280648032,1.4088651280648032,8.205041386066352
19,64,10,0,100,9,1,0.9987896855862449,1.4975930039595526,1.4975930039595526,8.37334773185962
20,64,10,0,100,9,1,0.9983045253762736,1.5934114646330682,1.5934114646330682,8.519730927255317
2,128,10,0,100,9,1,5.000000000000054e-11,5.000001087743023e-9,5.000001087743023e-9,1.1102230246251563e-15
3,128,10,0,100,9,1,5.000113382744637e-11,2.839504342624511e-6,2.839504342624511e-6,2.8345043434629953e-6
4,128,10,0,100,9,1,5.0783910110161406e-11,0.002584188677713248,0.002584188677713248,0.002584183678402407
5,128,10,0,100,9,1,6.740376560378147e-11,0.05379202199051154,0.05379202199051154,0.05379201700673741
6,128,10,0,100,9,1,0.005555122761998374,0.2651825436341427,0.2651825436341427,0.27163740856498525
7,128,10,0,100,9,1,0.08499265105567835,0.3487484332402213,0.3487484332402213,0.7141347071538061
8,128,10,0,100,9,1,0.19910070713902916,0.3183076030196174,0.3183076030196174,1.3321516287964839
9,128,10,0,100,9,1,0.36536082779331197,0.3931155622945428,0.3931155622945428,2.0390877636834097
10,128,10,0,100,9,1,0.5943467639949473,0.5979571225195847,0.5979571225195847,2.762516676992082
11,128,10,0,100,9,1,0.8918428132038582,0.8921245008328617,0.8921245008328617,3.456782809644214
12,128,10,0,100,9,1,0.9999999976429121,1.0002329047608465,1.0002329047608465,4.098394946230196
13,128,10,0,100,9,1,0.999999994593897,1.0005682780357594,1.0005682780357594,4.678319416772209
14,128,10,0,100,9,1,0.9999999832421059,1.0012146814527547,1.0012146814527547,5.195808317063606
