S,D,act_cost,search_cost,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,asymptotic_compositionality,max_compositionality,asymptotic_cost,comp_cost,bespoke_cost
10,81,0,16,10,0,16,8.0,0,0.9999999349180541,0.9999999349180541,0.0031458029924724368,0.0031458029924724368,4.430479816261724
10,81,1,16,10,0,17,9.0,1,0.999999796250919,0.999999796250919,1.0031456027764523,1.0031456027764523,4.430479816261724
10,81,2,16,10,0,18,10.0,2,0.9989582014234933,0.9989582014234933,2.001485366419867,2.001485366419867,4.430479816261724
10,81,3,16,10,0,19,11.0,3,0.033838117541424365,0.9979024893469303,4.317966287223537,2.9977069849574747,4.430479816261724
10,81,4,16,10,0,20,12.0,4,0.033838117541424365,0.9979024893469303,4.351804404764962,3.995609474304405,4.430479816261724
10,81,5,16,10,0,21,13.0,5,0.033838117541424365,0.9979024893469303,4.3856425223063855,4.993511963651335,4.430479816261724
10,81,6,16,10,0,22,14.0,6,0.033838117541424365,0.9979024893469303,4.41948063984781,5.991414452998265,4.430479816261724
10,81,7,16,10,0,23,15.0,7,0.033838117541424365,0.9979024893469303,4.453318757389235,6.989316942345196,4.430479816261724
10,81,8,16,10,0,24,16.0,8,0.033838117541424365,0.9979024893469303,4.487156874930658,7.987219431692126,4.430479816261724
10,81,9,16,10,0,25,17.0,9,0.033838117541424365,0.9979024893469303,4.520994992472083,8.985121921039056,4.430479816261724
10,81,10,16,10,0,26,18.0,10,6.106847123943952e-11,6.106847123943952e-11,4.4304798175615705,4.4304798175615705,4.430479816261724
10,81,0,18,10,0,18,9.0,0,0.9999999349180541,0.9999999349180541,0.0035389799762286407,0.0035389799762286407,4.430479816261724
10,81,1,18,10,0,19,10.0,1,0.9989582014234933,0.9989582014234933,1.002725418837146,1.002725418837146,4.430479816261724
10,81,2,18,10,0,20,11.0,2,0.033838117541424365,0.9979024893469303,4.2841281697581035,1.9998044956105645,4.430479816261724
10,81,3,18,10,0,21,12.0,3,0.033838117541424365,0.9979024893469303,4.317966287299528,2.9977069849574947,4.430479816261724
10,81,4,18,10,0,22,13.0,4,0.033838117541424365,0.9979024893469303,4.351804404840953,3.995609474304425,4.430479816261724
10,81,5,18,10,0,23,14.0,5,0.033838117541424365,0.9979024893469303,4.385642522382377,4.993511963651355,4.430479816261724
10,81,6,18,10,0,24,15.0,6,0.033838117541424365,0.9979024893469303,4.419480639923801,5.991414452998286,4.430479816261724
10,81,7,18,10,0,25,16.0,7,0.033838117541424365,0.9979024893469303,4.453318757465226,6.989316942345216,4.430479816261724
10,81,8,18,10,0,26,17.0,8,0.033838117541424365,0.9979024893469303,4.48715687500665,7.9872194316921465,4.430479816261724
10,81,9,18,10,0,27,18.0,9,0.033838117541424365,0.9979024893469303,4.520994992548074,8.985121921039077,4.430479816261724
10,81,10,18,10,0,28,19.0,10,6.106847123943952e-11,6.106847123943952e-11,4.4304798176615705,4.4304798176615705,4.430479816261724
10,81,0,20,10,0,20,10.0,0,0.9996685770310689,0.9996685770310689,0.003942723590303961,0.003942723590303961,4.430479816261724
10,81,1,20,10,0,21,11.0,1,0.033838117541424365,0.9979024893469303,4.25029005229267,1.0019020062636543,4.430479816261724
10,81,2,20,10,0,22,12.0,2,0.033838117541424365,0.9979024893469303,4.284128169834095,1.9998044956105847,4.430479816261724
10,81,3,20,10,0,23,13.0,3,0.033838117541424365,0.9979024893469303,4.31796628737552,2.9977069849575146,4.430479816261724
10,81,4,20,10,0,24,14.0,4,0.033838117541424365,0.9979024893469303,4.351804404916944,3.9956094743044455,4.430479816261724
10,81,5,20,10,0,25,15.0,5,0.033838117541424365,0.9979024893469303,4.385642522458368,4.993511963651375,4.430479816261724
10,81,6,20,10,0,26,16.0,6,0.033838117541424365,0.9979024893469303,4.419480639999793,5.991414452998305,4.430479816261724
10,81,7,20,10,0,27,17.0,7,0.033838117541424365,0.9979024893469303,4.453318757541217,6.989316942345236,4.430479816261724
10,81,8,20,10,0,28,18.0,8,0.033838117541424365,0.9979024893469303,4.487156875082641,7.987219431692166,4.430479816261724
10,81,9,20,10,0,29,19.0,9,0.033838117541424365,0.9979024893469303,4.520994992624066,8.985121921039097,4.430479816261724
10,81,10,20,10,0,30,20.0,10,6.106847123943952e-11,6.106847123943952e-11,4.4304798177615705,4.4304798177615705,4.430479816261724
10,81,0,22,10,0,22,11.0,0,1.2084501780983235e-10,0.9993354889305968,4.4304798171402,0.0039533736547248625,4.430479816261724
10,81,1,22,10,0,23,12.0,1,0.033838117541424365,0.9979024893469303,4.250290052368663,1.0019020062636743,4.430479816261724
10,81,2,22,10,0,24,13.0,2,0.033838117541424365,0.9979024893469303,4.284128169910086,1.9998044956106047,4.430479816261724
10,81,3,22,10,0,25,14.0,3,0.033838117541424365,0.9979024893469303,4.317966287451511,2.997706984957535,4.430479816261724
10,81,4,22,10,0,26,15.0,4,0.033838117541424365,0.9979024893469303,4.351804404992936,3.9956094743044654,4.430479816261724
10,81,5,22,10,0,27,16.0,5,0.033838117541424365,0.9979024893469303,4.385642522534359,4.993511963651395,4.430479816261724
10,81,6,22,10,0,28,17.0,6,0.033838117541424365,0.9979024893469303,4.419480640075784,5.991414452998326,4.430479816261724
10,81,7,22,10,0,29,18.0,7,0.033838117541424365,0.9979024893469303,4.4533187576172075,6.989316942345257,4.430479816261724
10,81,8,22,10,0,30,19.0,8,0.033838117541424365,0.9979024893469303,4.487156875158632,7.9872194316921865,4.430479816261724
10,81,9,22,10,0,31,20.0,9,0.033838117541424365,0.9979024893469303,4.520994992700057,8.985121921039116,4.430479816261724
10,81,10,22,10,0,32,21.0,10,6.106847123943952e-11,6.106847123943952e-11,4.4304798178615705,4.4304798178615705,4.430479816261724
10,81,0,24,10,0,24,12.0,0,1.2084501780983235e-10,0.9993354889305968,4.4304798172402,0.003953373654744643,4.430479816261724
10,81,1,24,10,0,25,13.0,1,0.033838117541424365,0.9979024893469303,4.250290052444654,1.0019020062636943,4.430479816261724
10,81,2,24,10,0,26,14.0,2,0.033838117541424365,0.9979024893469303,4.284128169986078,1.9998044956106247,4.430479816261724
10,81,3,24,10,0,27,15.0,3,0.033838117541424365,0.9979024893469303,4.317966287527502,2.997706984957555,4.430479816261724
10,81,4,24,10,0,28,16.0,4,0.033838117541424365,0.9979024893469303,4.351804405068926,3.9956094743044854,4.430479816261724
10,81,5,24,10,0,29,17.0,5,0.033838117541424365,0.9979024893469303,4.3856425226103495,4.993511963651415,4.430479816261724
10,81,6,24,10,0,30,18.0,6,0.033838117541424365,0.9979024893469303,4.419480640151774,5.991414452998346,4.430479816261724
10,81,7,24,10,0,31,19.0,7,0.033838117541424365,0.9979024893469303,4.4533187576932,6.989316942345276,4.430479816261724
10,81,8,24,10,0,32,20.0,8,0.033838117541424365,0.9979024893469303,4.487156875234623,7.987219431692207,4.430479816261724
10,81,9,24,10,0,33,21.0,9,0.033838117541424365,0.9979024893469303,4.520994992776048,8.985121921039138,4.430479816261724
10,81,10,24,10,0,34,22.0,10,6.106847123943952e-11,6.106847123943952e-11,4.4304798179615705,4.4304798179615705,4.430479816261724
