S,D,bespoke_zilch,bespoke_full,comp_zilch,comp_partial,comp_full,gen,cost,compositionality
5,3,10,0,10.001,1,1,90,8.847354771713245,6.6279790686273e-7
5,3,10,0,10.001,1,1,91,8.847354795748474,6.597511874450493e-7
5,3,10,0,10.001,1,1,92,8.847354819671406,6.567187034705526e-7
5,3,10,0,10.001,1,1,93,8.847354843482554,6.537003884204304e-7
5,3,10,0,10.001,1,1,94,8.847354867182448,6.506961760867509e-7
5,3,10,0,10.001,1,1,95,8.84735489077161,6.47706000571003e-7
5,3,10,0,10.001,1,1,96,8.847354914250554,6.447297962826526e-7
5,3,10,0,10.001,1,1,97,8.847354937619794,6.417674979377021e-7
5,3,10,0,10.001,1,1,98,8.847354960879846,6.388190405572602e-7
5,3,10,0,10.001,1,1,99,8.847354984031218,6.35884359466109e-7
5,3,10,0,10.001,1,1,100,8.847355007074416,6.329633902912909e-7
5,3,10,0,10.001,1,1,101,8.847355030009952,6.300560689606922e-7
10,3,10,0,10.001,1,1,1,1.0e-6,1.0e-6
10,3,10,0,10.001,1,1,2,9.702985266132766,5.587069040131397e-7
10,3,10,0,10.001,1,1,3,9.702987355162051,3.1217549289886854e-7
10,3,10,0,10.001,1,1,4,9.702988522212726,1.7444901497014813e-7
10,3,10,0,10.001,1,1,5,9.7029891741937,9.750716042701604e-8
10,3,10,0,10.001,1,1,6,9.702989538427417,5.452305680515009e-8
10,3,10,0,10.001,1,1,7,9.702989741909128,3.0509687057368565e-8
10,3,10,0,10.001,1,1,8,9.70298985558561,1.7094450151407403e-8
10,3,10,0,10.001,1,1,9,9.702989919091772,9.599934209246831e-9
10,3,10,0,10.001,1,1,10,9.702989954569933,5.4130704361580104e-9
10,3,10,0,10.001,1,1,11,9.702989974390057,3.0740496875394092e-9
10,3,10,0,10.001,1,1,12,9.702989985462708,1.7673393752134424e-9
10,3,10,0,10.001,1,1,13,9.702989991648522,1.0373365129402437e-9
10,3,10,0,10.001,1,1,14,9.70298999510427,6.295153041484766e-10
10,3,10,0,10.001,1,1,15,9.702989997034846,4.0168313119649007e-10
10,3,10,0,10.001,1,1,16,9.70298999811338,2.7440309298691896e-10
10,3,10,0,10.001,1,1,17,9.702989998715907,2.0329720869624035e-10
10,3,10,0,10.001,1,1,18,9.702989999052512,1.6357340870329368e-10
10,3,10,0,10.001,1,1,19,9.702989999240565,1.413814297742511e-10
10,3,10,0,10.001,1,1,20,9.702989999345617,1.2898372540357798e-10
10,3,10,0,10.001,1,1,21,9.702989999404306,1.220576610739851e-10
10,3,10,0,10.001,1,1,22,9.702989999437092,1.181883667543615e-10
10,3,10,0,10.001,1,1,23,9.702989999455408,1.160267583979488e-10
10,3,10,0,10.001,1,1,24,9.702989999465641,1.1481916075854957e-10
10,3,10,0,10.001,1,1,25,9.70298999947136,1.141445278842101e-10
10,3,10,0,10.001,1,1,26,9.702989999474552,1.1376763950658257e-10
10,3,10,0,10.001,1,1,27,9.702989999476335,1.1355708817623168e-10
10,3,10,0,10.001,1,1,28,9.702989999477333,1.1343946220168815e-10
10,3,10,0,10.001,1,1,29,9.702989999477891,1.1337374962763665e-10
10,3,10,0,10.001,1,1,30,9.702989999478202,1.1333703883815991e-10
10,3,10,0,10.001,1,1,31,9.702989999478376,1.1331653009864602e-10
10,3,10,0,10.001,1,1,32,9.702989999478472,1.1330507274775687e-10
10,3,10,0,10.001,1,1,33,9.702989999478527,1.1329867201848227e-10
10,3,10,0,10.001,1,1,34,9.702989999478556,1.1329509620626857e-10
10,3,10,0,10.001,1,1,35,9.702989999478575,1.13293098553745e-10
10,3,10,0,10.001,1,1,36,9.702989999478582,1.1329198255117916e-10
10,3,10,0,10.001,1,1,37,9.70298999947859,1.1329135908853363e-10
10,3,10,0,10.001,1,1,38,9.70298999947859,1.1329101078676279e-10
10,3,10,0,10.001,1,1,39,9.702989999478593,1.1329081620554017e-10
10,3,10,0,10.001,1,1,40,9.702989999478595,1.1329070750137811e-10
10,3,10,0,10.001,1,1,41,9.702989999478593,1.1329064677303713e-10
10,3,10,0,10.001,1,1,42,9.702989999478593,1.1329061284672443e-10
10,3,10,0,10.001,1,1,43,9.702989999478593,1.1329059389355228e-10
10,3,10,0,10.001,1,1,44,9.702989999478595,1.1329058330522989e-10
10,3,10,0,10.001,1,1,45,9.702989999478595,1.1329057738998955e-10
10,3,10,0,10.001,1,1,46,9.702989999478595,1.1329057408539915e-10
10,3,10,0,10.001,1,1,47,9.702989999478595,1.1329057223926667e-10
10,3,10,0,10.001,1,1,48,9.702989999478595,1.1329057120791167e-10
10,3,10,0,10.001,1,1,49,9.702989999478595,1.1329057063173795e-10
10,3,10,0,10.001,1,1,50,9.702989999478595,1.1329057030985466e-10
10,3,10,0,10.001,1,1,51,9.702989999478595,1.1329057013003228e-10
10,3,10,0,10.001,1,1,52,9.702989999478595,1.1329057002957324e-10
10,3,10,0,10.001,1,1,53,9.702989999478595,1.13290569973451e-10
10,3,10,0,10.001,1,1,54,9.702989999478595,1.1329056994209788e-10
10,3,10,0,10.001,1,1,55,9.702989999478595,1.1329056992458228e-10
10,3,10,0,10.001,1,1,56,9.702989999478595,1.1329056991479712e-10
10,3,10,0,10.001,1,1,57,9.702989999478595,1.132905699093305e-10
10,3,10,0,10.001,1,1,58,9.702989999478595,1.1329056990627654e-10
10,3,10,0,10.001,1,1,59,9.702989999478595,1.1329056990457056e-10
10,3,10,0,10.001,1,1,60,9.702989999478595,1.1329056990361742e-10
10,3,10,0,10.001,1,1,61,9.702989999478595,1.1329056990308494e-10
10,3,10,0,10.001,1,1,62,9.702989999478595,1.132905699027875e-10
10,3,10,0,10.001,1,1,63,9.702989999478595,1.1329056990262131e-10
10,3,10,0,10.001,1,1,64,9.702989999478595,1.1329056990252846e-10
10,3,10,0,10.001,1,1,65,9.702989999478595,1.132905699024765e-10
10,3,10,0,10.001,1,1,66,9.702989999478595,1.132905699024475e-10
10,3,10,0,10.001,1,1,67,9.702989999478595,1.1329056990243132e-10
10,3,10,0,10.001,1,1,68,9.702989999478595,1.1329056990242232e-10
10,3,10,0,10.001,1,1,69,9.702989999478595,1.1329056990241738e-10
10,3,10,0,10.001,1,1,70,9.702989999478595,1.1329056990241444e-10
10,3,10,0,10.001,1,1,71,9.702989999478595,1.1329056990241286e-10
10,3,10,0,10.001,1,1,72,9.702989999478595,1.1329056990241198e-10
10,3,10,0,10.001,1,1,73,9.702989999478595,1.1329056990241154e-10
10,3,10,0,10.001,1,1,74,9.702989999478595,1.1329056990241131e-10
10,3,10,0,10.001,1,1,75,9.702989999478595,1.1329056990241108e-10
10,3,10,0,10.001,1,1,76,9.702989999478595,1.1329056990241108e-10
10,3,10,0,10.001,1,1,77,9.702989999478595,1.1329056990241108e-10
10,3,10,0,10.001,1,1,78,9.702989999478595,1.1329056990241108e-10
10,3,10,0,10.001,1,1,79,9.702989999478595,1.1329056990241108e-10
10,3,10,0,10.001,1,1,80,9.702989999478595,1.1329056990241108e-10
10,3,10,0,10.001,1,1,81,9.702989999478595,1.1329056990241108e-10
10,3,10,0,10.001,1,1,82,9.702989999478595,1.1329056990241108e-10
10,3,10,0,10.001,1,1,83,9.702989999478595,1.1329056990241108e-10
10,3,10,0,10.001,1,1,84,9.702989999478595,1.1329056990241108e-10
10,3,10,0,10.001,1,1,85,9.702989999478595,1.1329056990241108e-10
10,3,10,0,10.001,1,1,86,9.702989999478595,1.1329056990241108e-10
10,3,10,0,10.001,1,1,87,9.702989999478595,1.1329056990241108e-10
10,3,10,0,10.001,1,1,88,9.702989999478595,1.1329056990241108e-10
10,3,10,0,10.001,1,1,89,9.702989999478595,1.1329056990241108e-10
10,3,10,0,10.001,1,1,90,9.702989999478595,1.1329056990241108e-10
10,3,10,0,10.001,1,1,91,9.702989999478595,1.1329056990241108e-10
10,3,10,0,10.001,1,1,92,9.702989999478595,1.1329056990241108e-10
10,3,10,0,10.001,1,1,93,9.702989999478595,1.1329056990241108e-10
10,3,10,0,10.001,1,1,94,9.702989999478595,1.1329056990241108e-10
10,3,10,0,10.001,1,1,95,9.702989999478595,1.1329056990241108e-10
10,3,10,0,10.001,1,1,96,9.702989999478595,1.1329056990241108e-10
10,3,10,0,10.001,1,1,97,9.702989999478595,1.1329056990241108e-10
10,3,10,0,10.001,1,1,98,9.702989999478595,1.1329056990241108e-10
10,3,10,0,10.001,1,1,99,9.702989999478595,1.1329056990241108e-10
10,3,10,0,10.001,1,1,100,9.702989999478595,1.1329056990241108e-10
10,3,10,0,10.001,1,1,101,9.702989999478595,1.1329056990241108e-10
5,9,10,0,10.001,1,1,1,1.0e-6,1.0e-6
5,9,10,0,10.001,1,1,2,6.925321519705919,2.3373495088234436e-6
5,9,10,0,10.001,1,1,3,6.925296860807407,5.463127335203266e-6
5,9,10,0,10.001,1,1,4,6.925239226081608,1.2768948349704458e-5
5,9,10,0,10.001,1,1,5,6.925104519437378,2.98444969269382e-5
5,9,10,0,10.001,1,1,6,6.924789686390815,6.975323065603074e-5
5,9,10,0,10.001,1,1,7,6.924053919781372,0.00016302116515311762
5,9,10,0,10.001,1,1,8,6.922334720801284,0.0003809573245634445
5,9,10,0,10.001,1,1,9,6.918319217299417,0.0008900168317459262
5,9,10,0,10.001,1,1,10,6.908948958738359,0.0020780798802459035
5,9,10,0,10.001,1,1,11,6.887130506771969,0.004845344468760295
5,9,10,0,10.001,1,1,12,6.836582155429966,0.011261260179696473
5,9,10,0,10.001,1,1,13,6.720836397309825,0.025978225839938425
5,9,10,0,10.001,1,1,14,6.4628537804049175,0.058916060016420115
5,9,10,0,10.001,1,1,15,5.921842323744804,0.12866820409843602
5,9,10,0,10.001,1,1,16,4.927578569889103,0.25990768677179726
5,9,10,0,10.001,1,1,17,3.5202995894417466,0.4566678918766508
5,9,10,0,10.001,1,1,18,2.2305725568571395,0.6639027591764293
5,9,10,0,10.001,1,1,19,1.5414727483380914,0.812404720488353
5,9,10,0,10.001,1,1,20,1.2977825212161371,0.8940882341878162
5,9,10,0,10.001,1,1,21,1.220472416998588,0.9338492141151714
5,9,10,0,10.001,1,1,22,1.1937315690988382,0.9522922927811949
5,9,10,0,10.001,1,1,23,1.1834047910191712,0.9606836258672736
5,9,10,0,10.001,1,1,24,1.1791110842945347,0.9644707863356312
5,9,10,0,10.001,1,1,25,1.1772534177299314,0.9661740118151099
5,9,10,0,10.001,1,1,26,1.1764339620641353,0.966938829082623
5,9,10,0,10.001,1,1,27,1.1760692017226542,0.9672820261923462
5,9,10,0,10.001,1,1,28,1.175906166856357,0.9674359818430671
5,9,10,0,10.001,1,1,29,1.1758331601511625,0.9675050356572193
5,9,10,0,10.001,1,1,30,1.1758004404545215,0.9675360064862125
5,9,10,0,10.001,1,1,31,1.1757857708161272,0.9675498966042901
5,9,10,0,10.001,1,1,32,1.1757791926781107,0.9675561261107567
5,9,10,0,10.001,1,1,33,1.17577624269522,0.9675589199339663
5,9,10,0,10.001,1,1,34,1.175774919722803,0.9675601729110094
5,9,10,0,10.001,1,1,35,1.175774326403183,0.9675607348469628
5,9,10,0,10.001,1,1,36,1.1757740603125408,0.9675609868642353
5,9,10,0,10.001,1,1,37,1.1757739409764443,0.967561099889022
5,9,10,0,10.001,1,1,38,1.1757738874566233,0.967561150578409
5,9,10,0,10.001,1,1,39,1.175773863454053,0.967561173311598
5,9,10,0,10.001,1,1,40,1.1757738526893788,0.9675611835069843
5,9,10,0,10.001,1,1,41,1.175773847861635,0.9675611880794136
5,9,10,0,10.001,1,1,42,1.1757738456964872,0.9675611901300577
5,9,10,0,10.001,1,1,43,1.1757738447254613,0.9675611910497309
5,9,10,0,10.001,1,1,44,1.1757738442899757,0.9675611914621863
5,9,10,0,10.001,1,1,45,1.1757738440946683,0.9675611916471643
5,9,10,0,10.001,1,1,46,1.1757738440070775,0.9675611917301233
5,9,10,0,10.001,1,1,47,1.1757738439677943,0.9675611917673288
5,9,10,0,10.001,1,1,48,1.175773843950177,0.9675611917840149
5,9,10,0,10.001,1,1,49,1.1757738439422756,0.9675611917914982
5,9,10,0,10.001,1,1,50,1.1757738439387317,0.967561191794854
5,9,10,0,10.001,1,1,51,1.175773843937143,0.9675611917963592
5,9,10,0,10.001,1,1,52,1.1757738439364303,0.9675611917970343
5,9,10,0,10.001,1,1,53,1.1757738439361107,0.967561191797337
5,9,10,0,10.001,1,1,54,1.1757738439359673,0.9675611917974728
5,9,10,0,10.001,1,1,55,1.175773843935903,0.9675611917975335
5,9,10,0,10.001,1,1,56,1.1757738439358743,0.967561191797561
5,9,10,0,10.001,1,1,57,1.1757738439358612,0.9675611917975733
5,9,10,0,10.001,1,1,58,1.1757738439358554,0.9675611917975788
5,9,10,0,10.001,1,1,59,1.1757738439358527,0.9675611917975812
5,9,10,0,10.001,1,1,60,1.1757738439358518,0.9675611917975824
5,9,10,0,10.001,1,1,61,1.175773843935851,0.9675611917975827
5,9,10,0,10.001,1,1,62,1.1757738439358512,0.9675611917975833
5,9,10,0,10.001,1,1,63,1.1757738439358505,0.9675611917975832
5,9,10,0,10.001,1,1,64,1.175773843935851,0.9675611917975833
5,9,10,0,10.001,1,1,65,1.1757738439358505,0.9675611917975832
5,9,10,0,10.001,1,1,66,1.175773843935851,0.9675611917975833
5,9,10,0,10.001,1,1,67,1.1757738439358505,0.9675611917975832
5,9,10,0,10.001,1,1,68,1.175773843935851,0.9675611917975833
5,9,10,0,10.001,1,1,69,1.1757738439358505,0.9675611917975832
5,9,10,0,10.001,1,1,70,1.175773843935851,0.9675611917975833
5,9,10,0,10.001,1,1,71,1.1757738439358505,0.9675611917975832
5,9,10,0,10.001,1,1,72,1.175773843935851,0.9675611917975833
5,9,10,0,10.001,1,1,73,1.1757738439358505,0.9675611917975832
5,9,10,0,10.001,1,1,74,1.175773843935851,0.9675611917975833
5,9,10,0,10.001,1,1,75,1.1757738439358505,0.9675611917975832
5,9,10,0,10.001,1,1,76,1.175773843935851,0.9675611917975833
5,9,10,0,10.001,1,1,77,1.1757738439358505,0.9675611917975832
5,9,10,0,10.001,1,1,78,1.175773843935851,0.9675611917975833
5,9,10,0,10.001,1,1,79,1.1757738439358505,0.9675611917975832
5,9,10,0,10.001,1,1,80,1.175773843935851,0.9675611917975833
5,9,10,0,10.001,1,1,81,1.1757738439358505,0.9675611917975832
5,9,10,0,10.001,1,1,82,1.175773843935851,0.9675611917975833
5,9,10,0,10.001,1,1,83,1.1757738439358505,0.9675611917975832
5,9,10,0,10.001,1,1,84,1.175773843935851,0.9675611917975833
5,9,10,0,10.001,1,1,85,1.1757738439358505,0.9675611917975832
5,9,10,0,10.001,1,1,86,1.175773843935851,0.9675611917975833
5,9,10,0,10.001,1,1,87,1.1757738439358505,0.9675611917975832
5,9,10,0,10.001,1,1,88,1.175773843935851,0.9675611917975833
5,9,10,0,10.001,1,1,89,1.1757738439358505,0.9675611917975832
5,9,10,0,10.001,1,1,90,1.175773843935851,0.9675611917975833
5,9,10,0,10.001,1,1,91,1.1757738439358505,0.9675611917975832
5,9,10,0,10.001,1,1,92,1.175773843935851,0.9675611917975833
5,9,10,0,10.001,1,1,93,1.1757738439358505,0.9675611917975832
5,9,10,0,10.001,1,1,94,1.175773843935851,0.9675611917975833
5,9,10,0,10.001,1,1,95,1.1757738439358505,0.9675611917975832
5,9,10,0,10.001,1,1,96,1.175773843935851,0.9675611917975833
5,9,10,0,10.001,1,1,97,1.1757738439358505,0.9675611917975832
5,9,10,0,10.001,1,1,98,1.175773843935851,0.9675611917975833
5,9,10,0,10.001,1,1,99,1.1757738439358505,0.9675611917975832
5,9,10,0,10.001,1,1,100,1.175773843935851,0.9675611917975833
5,9,10,0,10.001,1,1,101,1.1757738439358505,0.9675611917975832
10,9,10,0,10.001,1,1,1,1.0e-6,1.0e-6
10,9,10,0,10.001,1,1,2,9.135159104318864,1.5779423435088304e-6
10,9,10,0,10.001,1,1,3,9.135151376914525,2.4898721539350314e-6
10,9,10,0,10.001,1,1,4,9.135139183928901,3.9287961875402395e-6
10,9,10,0,10.001,1,1,5,9.135119944783893,6.1992549525882925e-6
10,9,10,0,10.001,1,1,6,9.135089587679705,9.781771992567942e-6
10,9,10,0,10.001,1,1,7,9.135041687942987,1.5434540033149866e-5
10,9,10,0,10.001,1,1,8,9.13496610860386,2.435385108400335e-5
10,9,10,0,10.001,1,1,9,9.134846855799053,3.842718874589563e-5
10,9,10,0,10.001,1,1,10,9.13465869589169,6.0632458178220365e-5
