S,N,D,bespoke_cost,free_cost,free_comp
4,10,10,33.764415312002754,36.907311517999965,0.6321799999999985
4,12,10,33.72833166000021,36.83576194666683,0.638999999999999
4,14,10,33.76262604000041,36.69825943571441,0.6403000000000045
4,16,10,33.74734267500037,36.66502857624996,0.63955
4,18,10,33.70927922666665,36.625218151111106,0.640000000000005
4,20,10,33.695230128002635,36.55968396400003,0.6391899999999994
4,22,10,33.714641018182846,36.62167183909086,0.6399909090908928
4,24,10,33.697267910000114,36.573820588333334,0.6398250000000011
4,26,10,33.74679786461493,36.647126552307725,0.6407615384615307
4,28,10,33.76134798857138,36.65562608214295,0.6402428571428596
4,30,10,33.76978312800004,36.5585125313334,0.638439999999978
4,32,10,33.721435507499784,36.52981653187496,0.64075
4,34,10,33.74455790117677,36.520037432941244,0.6431882352940894
4,36,10,33.69022679333351,36.53210664999994,0.6405444444444409
4,38,10,33.66405912631598,36.55414871421065,0.6384157894736829
4,40,10,33.70134347400105,36.50472691849998,0.6370250000000013
4,42,10,33.69105515999994,36.49170137714289,0.6392095238095346
4,44,10,33.72236742000042,36.51369375090912,0.6381727272727283
4,46,10,33.75899563304403,36.49802728739132,0.641643478260878
4,48,10,33.73193505500027,36.557972694166615,0.6389999999999988
4,50,10,33.743182617599864,36.533669318799994,0.6411959999999646
4,12,12,31.758641400000364,34.941420168333494,0.6290166666666639
4,14,12,31.769291828571696,34.87979385428591,0.6311285714285766
4,16,12,31.727329140000123,34.88242133124989,0.630475
4,18,12,31.76294890666644,34.74355554444438,0.6268222222222277
4,20,12,31.76520206400229,34.77526441700019,0.62804
4,22,12,31.808524134546794,34.705954209090685,0.6279909090908925
4,24,12,31.781007300000176,34.56161131999996,0.6241999999999994
4,26,12,31.823101070768868,34.60999552846151,0.6260692307692234
4,28,12,31.785693488571507,34.62506055785712,0.6296142857142878
4,30,12,31.811723136000236,34.620786043999956,0.6265999999999812
4,32,12,31.76758775999957,34.64621300624988,0.629275
4,34,12,31.834773169412323,34.55983479764708,0.6264294117646769
4,36,12,31.80271050666707,34.57324779333339,0.6243555555555558
4,38,12,31.811220884210606,34.57415275000006,0.6282052631578938
4,40,12,31.798303596000956,34.571453981000104,0.6267400000000006
4,42,12,31.763753605714264,34.552371163809525,0.6251571428571522
4,44,12,31.80310209818228,34.55058172636368,0.6258181818181802
4,46,12,31.81620928173982,34.57761661739134,0.6267521739130523
4,48,12,31.771688175000506,34.53095561624992,0.626266666666666
4,50,12,31.792995422400015,34.53115412999998,0.6238879999999675
4,14,14,30.100582680000116,33.46840968142879,0.6134428571428607
4,16,14,30.12071199,33.325470689999975,0.6129625
4,18,14,30.12510233333294,33.30488933444434,0.611222222222227
4,20,14,30.151576932002023,33.286950032999975,0.6117100000000001
4,22,14,30.155345247273765,33.2320031372725,0.6092272727272592
4,24,14,30.075980189999875,33.15108688416665,0.6112333333333342
4,26,14,30.129715698461265,33.116273940769375,0.6094461538461493
4,28,14,30.132533965714327,33.07317942499988,0.608285714285715
4,30,14,30.160622695999958,33.078425928666654,0.6051199999999834
4,32,14,30.07840316249945,33.04090195562503,0.6046
4,34,14,30.172328978823952,33.054934660588174,0.6058647058823301
4,36,14,30.0911393000004,33.03995017055556,0.6041444444444465
4,38,14,30.180629058947403,33.02732677526313,0.6049578947368427
4,40,14,30.096556818000938,32.98382863299986,0.6058649999999997
4,42,14,30.11890141714262,32.98981142571438,0.604295238095247
4,44,14,30.205227981818357,33.02620729681812,0.6052045454545442
4,46,14,30.1387019530439,32.991653408695576,0.6084173913043552
4,48,14,30.149414895000273,32.983574287916724,0.6029583333333335
4,50,14,30.136725974400125,32.98586412839992,0.6027479999999713
4,16,16,28.723961534999933,32.2896531625,0.5931125
4,18,16,28.722511893333074,32.235466151111126,0.5872333333333372
4,20,16,28.697793432001898,32.07902765300001,0.5902000000000021
4,22,16,28.698986280000653,32.031784894545396,0.5836727272727162
4,24,16,28.645556629999756,31.93868091166679,0.5832833333333323
4,26,16,28.750599895384397,31.961349546923092,0.5857846153846077
4,28,16,28.638917862857024,31.931540384285814,0.5821714285714287
4,30,16,28.631192751999762,31.866759471333406,0.5825999999999875
4,32,16,28.666928489999794,31.835049699375027,0.57945625
4,34,16,28.689513663529315,31.803206737646978,0.5785705882352747
4,36,16,28.62277654666704,31.84716424277777,0.5818222222222227
4,38,16,28.679680976842327,31.747162962105246,0.5779684210526311
4,40,16,28.607286090001203,31.77740247149999,0.5789900000000004
4,42,16,28.678111439999718,31.74275036333339,0.5788714285714367
4,44,16,28.694106447272702,31.771481459999997,0.5797227272727273
4,46,16,28.630527177391244,31.711366540869594,0.5781391304347889
4,48,16,28.713524115000084,31.66210317791655,0.5743583333333339
4,50,16,28.70029841280021,31.70413094119989,0.5758759999999794
4,18,18,27.380557893333155,31.20042326222232,0.5671555555555601
4,20,18,27.400869444001746,31.16447287099997,0.5651399999999993
4,22,18,27.396613145455007,31.073539647272845,0.5617545454545402
4,24,18,27.357529299999598,30.889204146666703,0.5571249999999996
4,26,18,27.409104683076748,30.944038423076957,0.5569615384615354
4,28,18,27.44372676857116,30.82192876357141,0.554114285714286
4,30,18,27.443116143999585,30.786031707333418,0.5558999999999912
4,32,18,27.41574276750019,30.780732056874857,0.5510625
4,34,18,27.357032279999434,30.726754955882317,0.5515647058823397
4,36,18,27.382877320000528,30.69969206111104,0.5493277777777786
4,38,18,27.408042227368824,30.66453411157893,0.5509473684210505
4,40,18,27.397141794001456,30.664622106000014,0.5486050000000003
4,42,18,27.389693594285408,30.60040179666665,0.5475523809523855
4,44,18,27.38427801272762,30.57215792272719,0.5466272727272742
4,46,18,27.378296092173155,30.596601453043455,0.5475173913043508
4,48,18,27.41158022499996,30.586122017500056,0.5453083333333326
4,50,18,27.423235344000357,30.603907121599942,0.547843999999985
4,20,20,26.21965171200171,30.24336320299997,0.5383099999999996
